,title
62061,Defeating Bears DD
85220,Opinions?
55210,What are some of your actual lessons?
84085,Caveat emptor stonks.
62699,Week of 10/12 - 10/16 | Just my two cent
51576,Greg Abbott Addressing the Covid19 Surge- No Shut Down
46561,"Warren Buffett says the economy will overcome coronavirus:""Nothing can basically stop America"""
99578,The move on BBBY hasn’t even started
101529,I'm 20 years old and I went from 80k to 50k
64534,Wish I understood the rules better.
99833,"My argument for $HTZZ. Currently hertz has been in the media striking a deal with our beloved $TSLA sending it into the stratosphere, but $HTZZ has so much potential to give, did you know. . . ."
99888,RIVN IPO
68148,SPCE is a must buy!!! 🚀🚀🚀🚀🚀🚀🚀
99223,What stock would you YOLO $600k on
98493,NASA just did your due diligence for you in Rocket Lab RKLB
53824,How has $TW stayed under the radar for this months earnings?
88639,Great time for cruise stocks
88855,"AMC ApeFEST: "" MEME STOCK INVESTORS TAKE PART IN THE BIGGEST COVID SUPER SPREADER EVENT TO DATE""!"
49703,I visualized today's options activity for ZOOM
59561,Need some advice from the pros
52846,Am I retarded?
72908,GME just cracked the 51$ mark!
60321,Why the suits quants will make us even more tendies
72642,the SEC fucking sucks
47512,HCAT - Health Care Data Tech 6/19 30c
95058,Can somebody explain the $15 cost on this $5000-transaction on SaxoBank?
72668,Unite over SHITRON
86805,"WKHS - DD, TLDR style"
85913,"CRSR, An Overlooked, Undervalued Fish for Short and Long Term"
47534,Cheese Futures: Puts on PZZA and my local Manchengo prices
92899,$CDEV firing back up boiii
88732,MRNA puts
99727,How did “my wife’s boyfriend” become a running gag on this subreddit?
82781,$FUV or Arcimoto is well in a position for a short squeeze
101814,Best buy took a massive hit from thefts and raids. What should we do?
56474,A Golden Opportunity
60103,"What does everyone think will happen in the market as soon as Biden wins, if he wins???"
93071,$RIDE and ICHAN AUTOMOTIVE PARTNERSHIP POTENTIAL
89576,Tomorrow is gonna be volatile
86126,So SPY didn't hit $1000... I'm FUMING!
51000,Fed vs. Random guy - Day 2 🤒
66897,12k YOLO potential $100k +
64913,PayPal can piss off
94845,SHORTs??
97366,TUIFY Vs TUIFF
72217,GME shorts haven't covered; they've added only added to their short position--short interest at 79.52 mil 🚀🚀🚀🚀
54746,OTM long dated calls or rolling series of ITM short dated calls?
103553,Just Got A 100k HELOC What Should I Do?
88820,$SPCE $25 July 23 Put?
84387,Why you should never sell any single MEME stock? (reasonable explanation)
62778,Power play for Hurricane Delta
67890,"[PLTR] Morgan Stanley analyst Keith Weiss upgrades price target, downgrades rating"
71739,I made a trading log for 2021 so you can track your losses easier
64491,Y'all sleeping on HYLN
48142,JD.com receives multiple upgrades following strong beat on Friday
89285,Attn: Fidelity Users - Info regarding buying/selling stocks by phone(if app and site are down)
75958,you are a RETARD if you don't buy Roblox stocks shortly after they go public on March 10th [$RBLX]
58059,Tech Bubble²
66894,Turtlebeach(ticker $he-ar) is the next Corsair
95448,Recent $WISH buyer
78638,Coinbase stock
51278,Tobacco Stocks are Going Through The Roof
96337,$AVIR $185K YOLO
77068,"🚀🚀For our brothers and sisters who held since $300 GME, the retards are coming back for us!🚀🌕💎🙌🦍"
54298,CCOJY 10-20% return DD
93377,"Daily Discussion Thread for September 02, 2021"
62696,Karl Marx would have posted to /r/wallstreetbets if he lived in 2020
62962,Stocks Reverse Uno Card
59872,Retail Investment Boom - Impostor Syndrome or Conspiracy Theory?
58384,Plus500 opinions
57496,Robert Prechter rant
79898,I believe in Theatrical Release. I believe in AMC.
56304,KODK put holders rejoice!
79038,"$ASTS - Notes of My Meeting with Abel Avellan, CEO of AST SpaceMobile"
54583,"If my AZN $59.5 7/24 call goes green, I'll drink my own peepee"
104669,App for practicing buying stocks?
93150,"People who made big bags early in life, how has your life changed?"
98281,I’m investing in Yen you retards thought
58787,Bili Bili to the MOON! #fallguys
59398,Very serious question
65436,How to be a smart degenerate options player
67844,Making $ in December
57648,KODK Just bought 2k worth of options on KODK
59544,9 month old baby here. Hear me and hear me well.
66401,We’re going to figure out which S&amp;P500 company will be removed
86117,2.1K ALL IN $WISH YO-FUCKING-LO
69490,Sold TSLA at $695 today
58902,The little pos stock that could
74661,I'm Sorry For Your Loss
79385,#Dog to the Mars!
81919,Beyond Meat buy?
78485,ASO What was the deal today at close???
66526,All the DD you need on PLUG Power to know why it’s the best clean energy investment you can make
67288,Lottery winners come out of your hiding you bitches
68630,Tendies For Tots
61023,"Honest question, need to come back from tsla cliff."
56502,Parcel delivery service dd
98942,Investment
61937,Did you get your $1.48 ps for WSTL?
83514,Weekend Box Office
