title,valued_sentiment
🕵️‍♂️ I SPY 6/1 Recap and 6/2 Outlook 🔭🎯,0
Pump Tesla Until Dec 21,-0.5
More SPY TA,0
"Either ""Smart"" Money is Wrong, or The Market Will Correct",-0.2
So I decided to buy overnight SPY puts this morning...,0.3
Theory on why the market is acting the way it is,0
Do y’all think the market will crash tomorrow?,-1
“Sell In May and Go Away”,-0.5
CORONA VIRUS VACCINE FOUND,0.5
Cattle Futures - buy the dip?,0.6
SPY going down even though VIX isn’t up as much?,-0.7
Universe Pharmaceuticals ($UPC) will pop again. Best action is start a position now.,0.2
Calling it quits,-0.8
"Does anybody have new, bold picks for 2021 or beyond that have not already been memed?",0
[UPDATE] Going From Trading 2k On RobinHood To Trading 200k On My Dad's 200k Account,0
My shitty S&amp;P500 ETF Brief Technical Analysis,0
Sentiment trackers are better predictors than crayon drawings?,0
GME - Bullish Pennant - This will go much higher before it goes lower! - UPDATE,1
GME is the inverse of the SPY,0
Once upon a time in 2020,0
I miss the old WSB,0
Volatility is Coming Back: How Election News is Overshadowing Potential Market Turmoil,-0.5
robinhood is trash,-0.1
Will Biden’s executive order mean a red week for S&amp;P?,-0.7
"TWNK: The bear thesis sucks Ding Dongs, and shorts are scared of taking it up the brownie in Q3 earnings.",-0.5
When is it best to sell a call? Sorry for dumb beginner question,0
Learn the futures market...,0
$SPY Pre-Market Thots 7/22,0
"🕵️‍♂️ I SPY TA - Monday Nov. 29, 2021",0
"How is it possible that on average, the SPY outperforms individual investors in the long run?",0.7
"preparing for this week on the ""spy""",0
Interactive Brokers margin with puts,-0.3
If SPY opens above 286,0
How fucked am I?,-0.7
SPY and DOW will be red tomorrow,-1
Turned Tragedy to Triumph,0.6
Finally made it to all green on Robinhood.,1
Options on SPY?,0
"🕵️‍♂️ I SPY TA - Tuesday Nov. 23, 2021",0
SPY officially over $340 in After-Hours trading,0.6
I’ve been a lurker and occasional binge contributor here for a long time.,0
So you think you could beat the market? A stupid-simple review of the past 18 months,0
SPY,0
Guaranteed millionaire,0.6
"All in SPY calls, off to the moon boys.",1
July Unemployment Rate,-0.5
Tesla king of Wall Street Bets,0.2
$SPY Forecast 12/14,0
NEW Market Indicator for SPY,0
Paper Hand Syndrome,-0.8
Turned gay for a day,0
🕵️‍♂️ I SPY 6/1 Read 🔭🎯,0
We’re NOT in a Bubble,0.7
SPY Index Puts?,-0.6
"The Election, SPY, and Your Retarded Positions",0
"Game Plan for March 11, 2021",0
Did anyone buy spy leaps in march? Are you a millionaire now?,0.8
DD: Macro Economic Outlook For This Week And Beyond,0
SPY 350c 8/31,0
Top 7 Trading Tips and Tricks,0
SPY Thots - 7/19/2021,0
I just created a Roth IRA through Fidelity. What do I invest in?,0
For the bears who say increasing number of Coronavirus cases will lead to tendies,-0.3
I bought 35k in SPY puts based on this research.,-1
Technical Analysis on Smoothed Moving Average (SMMA) indicator in the context of SPY day trading,0
"🕵️‍♂️ I SPY TA - Wednesday Nov. 17, 2021",0
Dips I'm Eyeing for Tomorrow 9/10/21,0
Quit my job at a hedge fund to join you idiots,0
I just bought my first option,0
16 year HODL - 970% gain on Lowe's Home Improvement,0.3
Predictions on tomorrows $PLTR : Let the Games Begin…,0
WE CAN Predict the next crash,-0.5
Inverted butterfly,0
"SPY Recap, NIO, AMD, and TSLA TA or a WSB's Wet Dream",1
Are futures manipulated? Price movements and volume during trading hours and not,0
Is it time to bail on tech stocks?,-0.6
Normie Playbook: Analyzing a Failed Play,-0.4
Puts on $SPY this week?,-0.8
We’ve all been duped. Covid cases and the spy are positively correlated.,0
Spy to 126 in August,0.3
Autistic Marionettes,0
Net outflow from NASDAQ?,0
Catalyst swing trading,0
Martin Shkreli endorses Yeezy for President.,0
NightMan No More!!!!!!!!!! THE SPY PROPHECY: WEEK of 12/07,0
Another Bear Calling The Market Top,-0.4
MY Journal for predicting stocks via pendulum + things alike,0
"🕵️‍♂️ I SPY TA - Thursday Dec. 2, 2021",0
Get your spy puts and vxx calls ready. I went long,0
$SNDL,0
Monday: Bullish vs Bearish,0
SPY Calls,0.7
I don’t get SPY expirations.,0
Option strangle/straddle spy,0
Thoughts on Spy Calls,0.7
What am I missing?,0
What ever happened to the guy who bought 4 mill in spy put leaps?,0
Connecting the dots: HYLN...Cramer...Citadel,0
Why not hedged with leveraged inverses?,0
VXX $30 calls 11/20/20 &amp; 1/15/21,0.5
