date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2016-01-02,50,0.0,17,0.0,0.8458
2016-01-03,69,0.0,34,0.148,0.99875
2016-01-04,96,0.0,97,0.233775,0.128825
2016-01-05,102,0.0,28,0.1484,0.6109
2016-01-06,5,0.0,3,0.0,0.6976
2016-01-07,77,0.0,79,0.13715714285714287,0.06385714285714286
2016-01-08,60,0.0,16,0.22165,0.657525
2016-01-09,36,0.0,11,0.0,0.4892
2016-01-10,218,0.0,122,0.7444000000000001,0.0
2016-01-11,19,0.0,63,-0.09247499999999999,0.37535
2016-01-12,0,0.0,1,0.7184,0.0
2016-01-13,2,0.0,1,0.0,0.0
2016-01-14,60,0.0,10,-0.3182,0.8878
2016-01-15,38,0.0,6,-0.14615,-0.19494999999999998
2016-01-18,126,0.0,202,0.3182,-0.8316
2016-01-19,8,0.0,2,0.23765,0.817
2016-01-20,2,0.0,0,0.0,0.9659
2016-01-21,86,0.0,29,0.3514333333333333,0.33013333333333333
2016-01-22,86,0.0,43,0.1468,0.012966666666666645
2016-01-24,48,0.0,16,0.0516,0.0
2016-01-25,68,0.0,56,0.31984999999999997,0.05025000000000002
2016-01-26,214,0.0,94,-0.052300000000000006,0.16434545454545454
2016-01-27,117,0.0,47,0.18317777777777777,0.15550000000000003
2016-01-28,15,0.0,0,-0.7424,0.0
2016-01-30,49,0.0,104,0.6369,-0.9365
2016-02-01,29,0.0,30,-0.2997,-0.29245
2016-02-02,26,0.0,1,0.0,0.6757
2016-02-03,12,0.0,4,-0.4404,0.8619
2016-02-04,26,0.0,28,0.0,0.8689
2016-02-08,0,0.0,1,0.836,0.0
2016-02-09,1,0.0,1,0.3592,-0.22475
2016-02-10,2,0.0,5,0.2023,-0.9393
2016-02-11,10,0.0,15,-0.17,0.8351500000000001
2016-02-13,0,0.0,1,0.0,0.0
2016-02-17,142,0.0,193,0.0,-0.7856
2016-02-18,18,0.0,19,0.3818,0.9702
2016-02-20,19,0.0,10,0.0,0.9083
2016-02-21,9,0.0,0,0.0,-0.8829
2016-02-23,32,0.0,1,0.0,-0.6597
2016-02-24,20,0.0,1,0.0,0.0
2016-03-01,26,0.0,0,0.0,0.9856
2016-03-02,73,0.0,66,0.04526666666666664,-0.13173333333333334
2016-03-04,44,0.0,55,-0.32865,0.27085
2016-03-07,5,0.0,5,0.347,0.0
2016-03-11,16,0.0,8,0.0,0.0
2016-03-14,12,0.0,2,0.7096,-0.9606
2016-03-15,14,0.0,1,0.1905,0.21075
2016-03-17,16,0.0,26,0.10533333333333333,0.7922666666666668
2016-03-18,22,0.0,0,0.7184,0.4588
2016-03-19,8,0.0,7,0.3818,-0.7348
2016-03-21,69,0.0,31,0.2139,-0.1366
2016-03-22,11,0.0,4,0.0,0.9758
2016-03-23,7,0.0,7,0.6776,0.0
2016-03-26,30,0.0,8,0.0,0.0
2016-03-29,5,0.0,0,0.0,-0.9264
2016-03-30,5,0.0,1,-0.5574,0.0
2016-03-31,14,0.0,22,0.34,0.991
2016-04-01,15,0.0,2,0.7096,-0.4946
2016-04-02,79,0.0,4,0.1366,0.7884
2016-04-04,30,0.0,18,0.5474,0.4389
2016-04-05,50,0.0,65,-0.20413333333333336,-0.0022333333333333463
2016-04-10,15,0.0,4,0.7184,0.0
2016-04-11,10,0.0,4,0.0,0.0
2016-04-12,66,0.0,27,0.2294,0.37405
2016-04-13,55,0.0,59,0.14912,-0.19112
2016-04-14,11,0.0,5,0.46565,-0.54325
2016-04-15,60,0.0,15,-0.05620000000000003,-0.1206
2016-04-16,19,0.0,4,-0.1197,0.0
2016-04-18,87,0.0,67,-0.21989999999999998,-0.12459999999999999
2016-04-21,6,0.0,7,0.0,0.0
2016-04-22,37,0.0,78,-0.3143666666666667,0.0
2016-04-23,47,0.0,29,0.0,0.09859999999999997
2016-04-25,137,0.0,91,0.0329,-0.31382000000000004
2016-04-26,277,0.0,263,-0.04538,0.14513333333333334
2016-04-27,348,0.0,288,0.11116666666666668,0.12744761904761906
2016-04-28,156,0.0,62,-0.03323333333333333,-0.08669166666666667
2016-04-29,89,0.0,107,0.3323285714285714,0.1363
2016-04-30,17,0.0,8,0.0,-0.8418
2016-05-01,22,0.0,8,0.55355,0.41105
2016-05-02,28,0.0,8,0.0,0.1254
2016-05-03,109,0.0,350,0.32453333333333334,0.3331
2016-05-04,20,0.0,10,-0.5423,0.0
2016-05-05,34,0.0,12,0.0,0.9325
2016-05-06,15,0.0,10,0.7184,-0.7264
2016-05-08,50,0.0,27,0.0,0.8991
2016-05-10,20,0.0,11,-0.7184,0.3182
2016-05-11,24,0.0,10,0.0,0.0
2016-05-12,170,0.0,313,-0.1338625,-0.025425000000000003
2016-05-13,40,0.0,45,0.072175,-0.553725
2016-05-14,54,0.0,78,0.01745000000000002,0.0
2016-05-16,89,0.0,199,0.1796,0.0
2016-05-17,78,0.0,58,0.23565,0.14055
2016-05-19,45,0.0,0,0.0,0.836
2016-05-20,38,0.0,21,0.4019,-0.25
2016-05-21,36,0.0,26,0.0,0.9991
2016-05-23,104,0.0,58,-0.148,0.36345
2016-05-24,64,0.0,58,0.15825000000000003,0.52305
2016-05-25,86,0.0,39,-0.072225,0.1972
2016-05-26,55,0.0,17,0.3592,0.4653
2016-05-27,102,0.0,367,-0.42873333333333336,-0.021333333333333315
2016-05-29,38,0.0,27,-0.6124,0.9645
2016-05-31,18,0.0,15,-0.6331,0.10115
2016-06-01,19,0.0,7,0.4404,0.7832
2016-06-02,8,0.0,10,0.0,-0.4268
2016-06-03,12,0.0,5,0.0,0.9559
2016-06-04,0,0.0,1,0.2732,0.0
2016-06-05,11,0.0,2,0.8126,0.8934
2016-06-08,1,0.0,1,-0.6501,-0.9891
2016-06-09,10,0.0,11,0.0,0.0
2016-06-10,11,0.0,0,0.0,0.986
2016-06-13,10,0.0,2,0.0,-0.7184
2016-06-14,26,0.0,8,0.0,0.4836
2016-06-15,1,0.0,0,0.3252,0.0
2016-06-16,15,0.0,3,0.5124333333333334,0.16826666666666668
2016-06-17,21,0.0,19,-0.296,0.0
2016-06-18,3,0.0,2,0.7537,0.0
2016-06-19,3,0.0,0,-0.34,0.0
2016-06-22,4,0.0,9,0.0,0.0857
2016-06-23,8,0.0,7,0.0,0.0
2016-06-25,26,0.0,8,-0.4019,-0.8897
2016-06-28,8,0.0,4,0.7184,0.9177
2016-06-29,1,0.0,1,0.0,0.0
2016-06-30,89,0.0,98,0.22515,0.021974999999999995
2016-07-06,8,0.0,3,0.0,0.9183
2016-07-07,35,0.0,9,0.17289999999999997,0.6248666666666667
2016-07-08,11,0.0,0,0.2732,0.9205
2016-07-09,88,0.0,58,0.34,-0.1617
2016-07-11,216,0.0,158,0.2412,-0.2459
2016-07-12,22,0.0,11,-0.031775,0.11095000000000002
2016-07-13,5,0.0,0,0.7184,0.0
2016-07-14,188,0.0,153,0.2666,-0.6908000000000001
2016-07-18,12,0.0,14,0.35633333333333334,0.33293333333333336
2016-07-19,24,0.0,9,-0.06236666666666666,0.0817
2016-07-20,17,0.0,2,-0.39780000000000004,0.1806
2016-07-22,64,0.0,68,0.0,0.7705500000000001
2016-07-23,28,0.0,5,0.7184,0.8738
2016-07-24,66,0.0,16,0.2574666666666667,-0.12826666666666664
2016-07-25,60,0.0,61,-0.13602,0.1153
2016-07-26,292,0.0,153,0.21913333333333332,0.09834166666666666
2016-07-27,140,0.0,218,0.2400777777777778,0.4125
2016-07-28,3,0.0,1,0.2294,0.8188
2016-07-29,8,0.0,12,0.5423,0.0
2016-07-31,180,0.0,144,0.0,-0.8632
2016-08-01,2,0.0,1,-0.0258,0.0
2016-08-03,71,0.0,65,0.4477666666666667,0.7427333333333334
2016-08-05,0,0.0,1,-0.0258,0.0
2016-08-09,24,0.0,3,0.5204,0.0
2016-08-10,55,0.0,324,-0.164,-0.2772
2016-08-11,39,0.0,15,-0.2787,0.7242500000000001
2016-08-14,1,0.0,1,-0.4588,0.0
2016-08-15,25,0.0,14,0.0,0.4776
2016-08-16,34,0.0,7,0.15293333333333334,-0.3025
2016-08-17,19,0.0,45,0.3592,0.4869
2016-08-18,12,0.0,2,-0.7184,0.0
2016-08-19,4,0.0,11,0.7184,0.0
2016-08-20,89,0.0,45,0.12536666666666665,0.48289999999999994
2016-08-21,25,0.0,8,-0.7184,-0.3559
2016-08-25,14,0.0,6,0.34,0.8479
2016-08-26,7,0.0,15,0.2049,0.72395
2016-08-29,65,0.0,43,0.11270000000000002,-0.0038599999999999967
2016-08-30,58,0.0,51,0.0,-0.21075
2016-09-06,17,0.0,3,0.25,-0.875
2016-09-07,27,0.0,67,0.13358,0.008479999999999998
2016-09-08,352,0.0,320,-0.12706,-0.33746
2016-09-09,128,0.0,615,-0.041074999999999987,0.011825000000000002
2016-09-13,36,0.0,38,0.5762,0.25020000000000003
2016-09-14,105,0.0,39,0.10161428571428573,0.1657
2016-09-15,147,0.0,50,-0.10846,-0.24764
2016-09-16,57,0.0,29,-0.08240000000000001,0.2957166666666667
2016-09-17,0,0.0,1,0.0,0.0
2016-09-18,7,0.0,49,-0.4588,0.0
2016-09-19,31,0.0,3,0.0,0.043833333333333335
2016-09-21,23,0.0,22,0.6318666666666667,0.1870666666666667
2016-09-23,38,0.0,20,-0.2787,-0.57165
2016-09-28,11,0.0,12,-0.1506,0.0
2016-09-29,1,0.0,1,0.3182,0.0
2016-09-30,17,0.0,18,0.04175000000000001,0.0
2016-10-04,68,0.0,568,0.4939,0.9985
2016-10-05,0,0.0,1,0.0,0.0
2016-10-06,5,0.0,7,0.4588,0.0
2016-10-07,28,0.0,3,0.0,-0.9006
2016-10-08,20,0.0,0,0.5267,0.765
2016-10-09,20,0.0,31,0.27115,0.42835
2016-10-10,38,0.0,14,0.0,0.2644666666666667
2016-10-11,51,0.0,53,-0.25258,0.17958000000000002
2016-10-14,44,0.0,0,0.0772,0.5137
2016-10-19,34,0.0,82,0.0,0.78775
2016-10-20,2,0.0,4,0.0,0.29635
2016-10-21,7,0.0,1,0.0,0.17
2016-10-22,48,0.0,94,0.4253,0.0
2016-10-24,94,0.0,18,0.05408333333333334,0.024866666666666665
2016-10-25,238,0.0,84,-0.2536125,0.12817499999999998
2016-10-26,234,0.0,146,0.3363333333333333,0.13211666666666666
2016-10-28,150,0.0,485,0.23786666666666667,0.3058
2016-10-30,76,0.0,33,0.25453333333333333,0.22363333333333335
2016-11-01,3,0.0,8,0.0,0.1655
2016-11-04,4,0.0,1,-0.4767,0.0
2016-11-05,16,0.0,15,0.0,0.0
2016-11-09,9,0.0,7,-0.24695,-0.0547
2016-11-10,211,0.0,148,0.17988,0.51156
2016-11-14,9,0.0,7,-0.5574,0.0
2016-11-15,61,0.0,31,0.50866,0.21660000000000004
2016-11-17,9,0.0,9,0.4995,0.0445
2016-11-19,0,0.0,1,0.5256,0.0
2016-11-20,97,0.0,69,0.0,0.7351
2016-11-21,12,0.0,6,0.7184,-0.6997
2016-11-23,175,0.0,293,0.08400000000000002,0.0
2016-11-29,9,0.0,0,0.0,0.9994
2016-12-04,18,0.0,12,0.0,0.3016
2016-12-05,17,0.0,18,0.0601,-0.9144
2016-12-06,24,0.0,89,0.0,0.9959
2016-12-07,17,0.0,59,-0.0129,0.4846
2016-12-16,99,0.0,386,-0.5574,0.9996
2016-12-20,14,0.0,7,-0.4588,-0.7717
2016-12-21,39,0.0,33,0.12496666666666667,0.35589999999999994
2016-12-22,14,0.0,9,0.3981333333333333,0.15736666666666668
2016-12-30,8,0.0,8,0.4588,0.0
2017-01-02,7,0.0,0,-0.1786,-0.19195
2017-01-05,1,0.0,0,0.25,0.8678
2017-01-06,5,0.0,2,0.594,0.976
2017-01-07,176,0.0,255,-0.5886,0.4706
2017-01-09,40,0.0,6,0.2294,-0.4569
2017-01-11,13,0.0,0,0.0,0.0
2017-01-12,59,0.0,118,0.15293333333333334,0.3290666666666667
2017-01-13,37,0.0,94,-0.1037,0.49965
2017-01-16,55,0.0,23,0.10115,0.4853
2017-01-17,13,0.0,12,-0.092,0.49815
2017-01-18,4,0.0,1,0.0,0.0
2017-01-19,69,0.0,53,0.148,0.0
