date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2020-01-01,96,0,2,0.25295,0.19605
2020-01-02,1355,4,1365,0.19791428571428574,0.14887999999999998
2020-01-03,558,0,199,0.26092857142857145,0.22497142857142857
2020-01-05,423,0,106,0.27311111111111114,0.4777555555555556
2020-01-06,530,0,21,0.09962380952380952,0.324052380952381
2020-01-07,776,0,33,0.01483030303030304,0.18206969696969694
2020-01-08,167,0,12,0.15330833333333332,-0.17725833333333332
2020-01-09,797,0,36,0.16482222222222223,0.26998333333333335
2020-01-10,374,0,29,0.13283793103448274,0.5752620689655172
2020-01-11,16,0,2,-0.36985,-0.11315
2020-01-12,64,0,3,0.494,0.4789333333333334
2020-01-13,90,0,7,0.5597571428571428,0.3651142857142857
2020-01-14,501,0,20,0.30812,-0.013924999999999998
2020-01-15,177,0,5,0.18612,0.8819800000000001
2020-01-16,386,0,22,0.09912272727272729,0.18258181818181818
2020-01-17,882,0,27,0.2750518518518519,0.3052740740740741
2020-01-18,91,0,8,0.25065,0.31055
2020-01-19,278,0,9,-0.2518,0.08953333333333335
2020-01-20,33,0,2,0.2776,0.3972
2020-01-21,108,0,16,0.30140625,0.294275
2020-01-22,168,0,7,-0.025614285714285718,0.7780857142857143
2020-01-23,174,0,11,0.2833818181818182,0.31923636363636365
2020-01-24,12217,0,29,0.19349310344827586,0.42771034482758624
2020-01-25,26,0,3,0.3168666666666667,0.6655000000000001
2020-01-26,140,0,4,-0.2294,0.5644
2020-01-27,281,0,13,0.12584615384615386,0.4146
2020-01-28,1526,0,243,0.17375,0.30823
2020-01-29,353,0,37,-0.008695,0.00036999999999999533
2020-01-30,94,0,20,-0.008800000000000007,0.23037000000000002
2020-01-31,0,0,4,0.175325,0.0
2020-02-01,41,0,2,0.0,0.7613000000000001
2020-02-02,158,0,12,0.2873,0.7478083333333334
2020-02-03,4,0,1,0.0,0.8782
2020-02-04,481,0,8,0.2076375,0.6473
2020-02-05,267,0,6,0.2185166666666667,0.32416666666666666
2020-02-06,56,0,3,0.27623333333333333,0.007966666666666641
2020-02-07,51,0,8,0.33466666666666667,0.2198111111111111
2020-02-08,138,0,4,0.18885,0.55975
2020-02-09,16,0,8,0.0870625,0.64785
2020-02-10,388,0,10,-0.007133333333333341,0.48256666666666664
2020-02-11,1730,0,40,0.2810566666666666,0.08193333333333334
2020-02-12,32,0,12,0.1201,0.227275
2020-02-13,0,0,3,-0.021633333333333355,0.0
2020-02-14,430,0,10,0.14101999999999998,0.38831
2020-02-15,10,0,1,-0.2263,0.9797
2020-02-16,237,0,1,0.6369,0.594
2020-02-17,337,0,8,0.313175,0.71705
2020-02-18,1366,0,36,0.20464722222222223,0.1008
2020-02-19,586,0,60,0.27968833333333337,0.23947333333333332
2020-02-20,1018,0,127,0.20410158730158728,0.17162222222222223
2020-02-21,1552,0,103,0.09678415841584158,0.20953960396039603
2020-02-22,963,0,30,0.21243666666666666,0.25505
2020-02-23,186,0,22,0.4765636363636363,0.07115454545454546
