date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2020-06-03,244,0,2,-0.05135,0.0
2020-06-04,0,0,2,0.1366,0.0
2020-06-06,0,0,1,0.0,0.9998
2020-06-08,0,0,1,-0.886,0.0
2020-06-09,1,0,7,0.020128571428571433,0.0
2020-06-10,0,0,3,-0.45693333333333336,0.0
2020-06-12,46,0,55,0.0,0.4343
2020-06-13,56,0,53,0.5574,0.9367
2020-06-17,33,0,1,0.555,0.9489
2020-06-18,14,0,0,0.8415,-0.8827
2020-06-19,88,0,3,0.0,-0.012400000000000003
2020-07-02,17,0,1,0.0,0.9915
2020-07-04,15,0,4,0.0,0.0
2020-07-07,131,0,1,-0.5423,0.2244
2020-07-08,15,0,1,0.0,-0.942
2020-07-13,39,0,1,0.4588,-0.9121
2020-07-14,132,0,35,0.5292,0.87575
2020-07-16,70,0,1,0.1027,-0.8225
2020-08-04,57,0,1,0.7925,-0.2271
2020-08-05,61,0,3,-0.05129999999999999,0.9238
2020-08-13,34,0,1,0.4019,0.6486
2020-08-14,45,0,4,0.0,0.10464999999999999
2020-08-16,35,0,1,0.0,-0.9752
2020-08-19,11,0,2,-0.06625000000000003,0.2788
2020-08-21,49,0,1,-0.5162,0.483
2020-08-22,11,0,1,0.0,0.9639
2020-08-24,26,0,2,0.7292,0.4632
2020-08-27,65,0,4,0.2158,-0.44215000000000004
2020-08-28,27,0,2,-0.2787,0.20584999999999998
2020-08-31,10,0,2,0.71275,0.4292
2020-09-02,4,0,2,0.7184,0.0
2020-09-03,4,0,2,-0.139,0.0
2020-09-04,22,0,2,-0.21075,0.72185
2020-09-10,2,0,1,0.7476,0.0
2020-09-11,2,0,1,0.792,0.0
2020-09-14,0,0,1,-0.8271,0.0
2020-09-16,54,0,4,0.266525,0.2498
2020-10-05,132,0,2,-0.38585,0.3955
2020-10-06,95,0,3,0.0,0.5193333333333333
2020-10-07,4,0,1,0.6908,0.8904
2020-10-08,8,0,1,-0.4588,-0.399
2020-10-09,37,0,2,0.0,0.48615
2020-10-10,4,0,2,-0.2263,0.0
2020-10-13,25,0,2,-0.36995,0.4763
2020-10-14,165,0,6,0.062016666666666664,0.3693166666666667
2020-10-15,40,0,3,0.22693333333333332,0.44966666666666666
2020-10-16,165,0,11,-0.007409090909090901,0.5527727272727273
2020-10-18,111,0,3,-0.449,-0.806
2020-10-20,19,0,1,-0.3818,-0.886
2020-10-21,91,0,1,0.6908,-0.5563
2020-10-23,12,0,1,0.0,0.829
2020-10-25,50,0,3,0.06280000000000001,0.1856
2020-10-26,26,0,1,0.0,-0.6924
2020-10-27,16,0,2,0.802,0.0
2020-10-28,8,0,1,0.0,0.9393
2020-10-31,26,0,1,-0.7476,0.0
2020-11-02,123,0,4,-0.17907499999999998,-0.09104999999999998
2020-11-03,8,0,1,-0.7184,-0.5574
2020-11-07,1,0,1,0.481,0.9796
2020-11-08,100,0,8,0.37267500000000003,0.49158749999999996
2020-11-09,25,0,5,0.21956000000000003,0.43104000000000003
2020-11-10,21,0,1,0.8779,0.0
2020-11-11,13,0,1,0.8519,0.0
2020-11-13,80,0,1,-0.1531,0.7465
2020-11-15,460,6,420,0.044074999999999996,0.06915000000000002
2020-11-16,105,0,23,0.3715,0.8764
2020-11-17,0,0,1,-0.7639,0.0
2020-11-18,128,1,86,-0.23420000000000002,0.18355
2020-11-19,0,0,1,-0.7424,0.0
2020-11-22,20,0,2,0.12675000000000003,0.3588
2020-11-23,39,0,3,0.3026,0.17290000000000003
2020-11-24,125,0,4,0.11134999999999998,0.479975
2020-11-27,12,0,1,0.0,0.429
2020-11-28,8,0,2,0.0,0.25855
2020-11-29,0,0,1,0.7531,0.0
2020-12-01,2,0,1,0.8225,0.4588
2020-12-02,18,0,3,-0.15683333333333332,-0.0794
2020-12-03,50,0,5,-0.12782,0.09556
2020-12-04,124,1,32,-0.07350000000000001,0.0
2020-12-05,18,0,1,0.9432,0.9715
2020-12-06,31,0,4,-0.261875,0.054074999999999984
2020-12-07,26,0,1,0.0,0.971
2020-12-08,0,0,1,-0.2023,0.0
2020-12-09,15,0,2,0.0,0.47269999999999995
2020-12-11,77,0,1,-0.1531,0.0
2020-12-12,72,0,1,0.1779,0.9991
2020-12-13,123,0,2,0.0,0.0
2020-12-14,268,0,5,-0.06776000000000001,0.17886
2020-12-15,2,0,2,0.3592,0.0
2020-12-16,0,0,1,0.0,0.0
2020-12-17,6,0,2,0.4958,0.0
2020-12-18,62,1,7,0.8068,0.0
2020-12-19,4,0,1,0.0,0.9785
2020-12-20,54,0,2,0.43895,0.125
2020-12-21,64,0,1,-0.7184,0.7003
2020-12-22,44,0,4,0.318325,0.241025
2020-12-23,31,0,2,0.3057,0.97
2020-12-24,8,0,1,0.7184,0.9956
2020-12-25,5,0,2,0.24695,-0.28535
2020-12-27,13,0,2,-0.32125000000000004,0.15375
2020-12-28,155,0,4,-0.2787,0.1991
2020-12-29,4,0,10,0.70831,0.0
2020-12-30,35,0,4,0.44179999999999997,0.246475
2020-12-31,116,0,2,0.38585,0.0
2021-01-01,2,0,1,0.128,0.0
2021-01-02,0,0,1,0.4404,0.0
2021-01-03,2,0,3,0.38926666666666665,0.0
2021-01-05,0,0,5,0.17226,0.0
2021-01-06,0,0,1,0.0,0.0
2021-01-07,0,0,1,-0.4588,0.0
2021-01-10,0,0,4,0.217275,0.0
2021-01-11,0,0,6,0.060200000000000004,0.0
2021-01-12,0,0,3,0.7637666666666667,0.0
2021-01-13,0,0,3,-0.19424999999999998,0.0
2021-01-14,178,0,89,0.29908484848484845,0.029940909090909094
2021-01-15,84,0,23,0.40456470588235294,0.0
2021-01-16,10,0,19,0.21806111111111112,0.0
2021-01-17,644,0,18,0.29963684210526315,0.014378947368421052
2021-01-18,85,0,71,0.3336826086956522,0.015966666666666664
2021-01-19,346,0,97,0.26281818181818184,0.07012
2021-01-20,10,0,15,0.027100000000000006,0.12864
2021-01-21,324,0,102,0.22544,0.241519
2021-01-22,433,0,67,0.14308805970149255,0.054780597014925374
2021-01-23,9,0,37,0.2592638888888889,0.026866666666666664
2021-01-24,26,0,118,0.319468,0.181935
2021-01-25,2,0,100,0.343569,0.0
2021-01-26,4022,22,8736,0.353252,0.18892499999999998
2021-01-27,30630,171,34324,0.200792,0.21465299999999998
2021-01-28,5589,0,233,0.34603,0.076324
2021-01-29,12055,42,4306,0.149965,0.102311
2021-01-30,24864,515,85068,0.34083199999999997,0.16330000000000003
2021-01-31,69674,2760,620562,0.38022399999999995,0.172554
2021-02-01,36730,833,236204,0.254747,0.183249
2021-02-02,36344,1122,304889,0.30550499999999997,0.088791
2021-02-03,22692,1173,281690,0.246459,0.289927
2021-02-04,540,6,1272,0.16025652173913044,0.15152898550724636
2021-02-07,14,0,100,0.126728,0.0
2021-02-08,609,0,102,0.12264099999999999,0.019007999999999997
2021-02-09,7071,93,6623,0.343634,0.030316999999999997
2021-02-10,3496,16,991,0.20972200000000002,0.090991
2021-02-11,472,0,100,0.249695,-0.023222999999999997
2021-02-12,1355,0,100,0.173125,0.048614
2021-02-13,619,0,90,0.17015222222222223,0.03520555555555555
2021-02-14,898,0,100,0.218139,0.046776
2021-02-15,576,0,101,0.278079,0.05899600000000001
2021-02-16,881,0,48,0.274331914893617,0.1310255319148936
2021-02-17,955,0,143,0.239556,0.175749
2021-02-18,411,0,101,0.208261,0.150972
2021-02-19,1242,0,101,0.102576,0.08057600000000001
2021-02-20,2227,3,238,0.17859999999999998,0.089224
2021-02-21,621,1,140,0.325372,0.142343
2021-02-22,2526,46,5549,0.31354343434343435,0.017901010101010098
2021-02-23,3670,55,16571,0.40767699999999996,0.005124
2021-02-24,8700,218,34374,0.462298,0.098124
2021-02-25,16072,911,142593,0.356992,0.08417400000000001
2021-02-26,2684,91,15394,0.379291,0.028997000000000002
2021-02-27,1028,22,3410,0.17723770491803278,0.06221147540983607
2021-03-01,217,0,104,0.19981000000000002,0.18594999999999998
2021-03-02,4072,127,15244,0.34082300000000004,0.08502900000000001
2021-03-03,8900,484,87657,0.207207,0.116716
2021-03-04,1407,44,3764,0.36372111111111116,0.03352
2021-03-06,14,0,9,0.4715875,0.12175
2021-03-07,928,0,109,0.28392,0.208241
2021-03-08,461,0,114,0.294984,0.18907
2021-03-09,697,0,141,0.252827,0.144641
2021-03-10,309,0,156,0.25614000000000003,0.257818
2021-03-11,392,1,188,0.278042,0.218552
2021-03-12,1224,4,329,0.271075,0.316787
2021-03-13,1011,4,504,0.36688000000000004,0.10438700000000001
2021-03-14,610,0,134,0.375301,0.121409
2021-03-15,1355,2,159,0.263144,0.13314700000000002
2021-03-16,728,0,104,0.26770700000000003,0.199269
2021-03-26,134,0,15,0.27712,0.3255733333333334
2021-03-27,596,0,58,0.35333191489361704,0.16060425531914893
2021-03-29,1671,0,97,0.21331494252873562,0.20594827586206896
2021-03-30,377,0,78,0.26878846153846153,0.14796025641025642
2021-03-31,647,0,78,0.2636506329113924,0.17353164556962025
2021-04-01,1321,0,100,0.214334,0.147131
2021-04-02,718,0,51,0.2203607843137255,0.2530588235294118
2021-04-03,251,0,56,0.19397818181818183,0.15105272727272728
2021-04-04,963,5,322,0.27693469387755104,0.07316938775510204
2021-04-05,920,2,129,0.38361343283582094,0.11157611940298508
2021-04-06,339,0,41,0.1635609756097561,0.2026
2021-04-07,171,0,81,0.21820875,0.2677375
2021-04-08,486,0,83,0.20179404761904762,0.17428690476190475
2021-04-09,74,0,64,0.2387952380952381,0.13037460317460317
2021-04-14,117,0,38,0.22714210526315792,0.2122921052631579
2021-04-15,1647,0,100,0.257173,0.10316800000000001
2021-04-16,882,0,104,0.189959,0.169934
2021-04-17,340,0,43,0.09884186046511628,0.16822325581395348
2021-04-18,1438,0,31,0.37124193548387097,0.24861290322580645
2021-04-19,411,0,71,0.2516642857142857,0.19418000000000002
2021-04-20,67,0,55,0.19277169811320752,0.15222641509433962
2021-04-21,1129,0,58,0.13865576923076922,0.11338076923076922
2021-04-22,453,0,77,0.22875256410256412,0.09932820512820513
2021-04-23,208,0,44,0.18448863636363635,0.13216818181818182
2021-04-24,547,0,47,0.24638936170212763,0.3887638297872341
2021-04-25,28,0,33,0.300659375,0.12088750000000001
2021-04-26,733,0,85,0.31935,0.11428170731707317
2021-04-27,1700,0,85,0.3390464285714286,0.11715357142857143
2021-04-28,2306,0,93,0.18018666666666666,0.1455077777777778
2021-04-29,281,0,48,0.18700625,0.05925833333333333
2021-04-30,389,0,53,0.20920588235294116,0.18770392156862747
2021-05-01,39,0,24,0.04460000000000001,0.1570375
2021-05-02,218,0,14,0.048850000000000005,0.23269285714285712
2021-05-03,281,0,41,0.27881750000000005,0.26957749999999997
2021-05-04,132,0,56,0.3676888888888889,0.12019111111111111
2021-05-05,1564,0,65,0.19113593750000002,0.077825
2021-05-06,1167,0,101,0.268108,0.217794
