date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2020-01-01,96,0,2,0.25295,0.3074
2020-01-02,1355,4,1365,0.17902857142857143,0.1780657142857143
2020-01-03,558,0,199,0.2283714285714286,0.2212285714285714
2020-01-05,423,0,106,0.27311111111111114,0.4777555555555556
2020-01-06,530,0,21,0.10624285714285715,0.3807
2020-01-07,776,0,33,0.0075272727272727305,0.2123151515151515
2020-01-08,167,0,12,0.10871666666666664,-0.23785
2020-01-09,797,0,36,0.21272777777777777,0.27722222222222226
2020-01-10,374,0,29,0.13283793103448274,0.5756689655172414
2020-01-11,16,0,2,-0.36985,0.1591
2020-01-12,64,0,3,0.494,0.4789333333333334
2020-01-13,90,0,7,0.3958714285714286,0.4353142857142857
2020-01-14,501,0,20,0.23705000000000004,-0.040255
2020-01-15,177,0,5,0.18612,0.89
2020-01-16,386,0,22,0.08566818181818182,0.21417727272727272
2020-01-17,882,0,27,0.24457777777777778,0.2482925925925926
2020-01-18,91,0,8,0.25065,0.3108125
2020-01-19,278,0,9,-0.2518,0.08261111111111114
2020-01-20,33,0,2,0.2776,0.39704999999999996
2020-01-21,108,0,16,0.30140625,0.3505625
2020-01-22,168,0,7,-0.1030857142857143,0.7833428571428571
2020-01-23,174,0,11,0.2833818181818182,0.31923636363636365
2020-01-24,12217,0,29,0.14589310344827586,0.35999310344827584
2020-01-25,26,0,3,0.2763666666666667,0.6655666666666668
2020-01-26,140,0,4,0.0,0.669975
2020-01-27,281,0,13,0.12584615384615386,0.46933846153846154
2020-01-28,1526,0,243,0.17375,0.31843
2020-01-29,353,0,37,-0.0069999999999999975,0.009810000000000003
2020-01-30,94,0,20,-0.008800000000000007,0.15935
2020-01-31,0,0,4,0.175325,0.0
2020-02-01,41,0,2,0.0,0.7334499999999999
2020-02-02,158,0,12,0.2873,0.7413
2020-02-03,4,0,1,0.0,0.8782
2020-02-04,481,0,8,0.07005,0.648
2020-02-05,267,0,6,0.31693333333333334,0.32666666666666666
2020-02-06,56,0,3,0.5676,0.02586666666666663
2020-02-07,51,0,8,0.3853222222222222,0.21971111111111108
2020-02-08,138,0,4,0.18885,0.585125
2020-02-09,16,0,8,0.0870625,0.684075
2020-02-10,388,0,10,-0.007133333333333341,0.4441333333333333
2020-02-11,1730,0,40,0.32759,0.08227999999999999
2020-02-12,32,0,12,0.1201,0.2984583333333333
2020-02-13,0,0,3,-0.04693333333333335,0.0
2020-02-14,430,0,10,0.19939,0.41055
2020-02-15,10,0,1,-0.2263,0.9797
2020-02-16,237,0,1,0.6369,0.594
2020-02-17,337,0,8,0.2265125,0.716575
2020-02-18,1366,0,36,0.19735,0.08818333333333334
2020-02-19,586,0,60,0.28379166666666666,0.24527000000000002
2020-02-20,1018,0,127,0.2513142857142857,0.17366190476190477
2020-02-21,1552,0,103,0.08156930693069307,0.1783782178217822
2020-02-22,963,0,30,0.19708,0.15223333333333333
2020-02-23,186,0,22,0.4987363636363636,0.11722727272727272
2020-02-24,212,0,47,0.03925531914893617,0.13414042553191488
2020-02-25,442,0,24,0.16316250000000002,0.23776666666666665
2020-02-26,250,0,21,0.11008095238095239,-0.13302857142857144
2020-02-27,161,0,30,-0.025349999999999998,0.03377333333333333
2020-02-28,263,0,25,-0.236312,-0.229008
2020-02-29,587,0,10,0.016229999999999994,0.06839999999999999
2020-03-01,110,0,9,0.057199999999999994,-0.5176888888888889
2020-03-02,208,0,8,-0.0384375,0.4703
2020-03-03,162,0,12,0.2164,0.16138333333333335
