date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2018-01-02,165,0.0,561,0.2924,0.215
2018-01-03,70,0.0,209,0.13323333333333334,-0.3083666666666667
2018-01-04,8,0.0,0,0.8955,0.0
2018-01-06,22,0.0,12,0.0,0.8807
2018-01-07,206,0.0,4117,0.33055,0.2294
2018-01-09,14,0.0,16,0.3612,-0.2841
2018-01-11,13,0.0,56,0.3768,0.0
2018-01-12,105,0.0,127,0.49005,0.246325
2018-01-13,0,0.0,1,0.5106,0.0
2018-01-16,79,0.0,101,0.26335,0.25935
2018-01-19,32,0.0,104,0.2294,0.1591
2018-01-20,19,0.0,6,0.742,0.8444
2018-01-22,13,0.0,7,-0.2294,0.0
2018-01-23,36,0.0,16,-0.5859,0.0
2018-01-24,119,0.0,137,0.03678,0.08808
2018-01-25,60,0.0,136,0.0875,0.09652000000000001
2018-01-26,74,0.0,104,0.41801666666666665,0.4120333333333333
2018-01-28,121,0.0,76,0.3753,0.1263
2018-01-29,84,0.0,411,0.1186,0.5672
2018-01-30,31,0.0,8,0.38380000000000003,0.17099999999999999
2018-01-31,61,0.0,51,0.30932857142857145,0.3750714285714286
2018-02-01,297,0.0,275,0.007107142857142855,0.0828857142857143
2018-02-02,353,0.0,1470,0.0963095238095238,0.07656190476190476
2018-02-03,34,0.0,86,0.0,0.0
2018-02-04,41,0.0,53,0.4111,0.132
2018-02-05,6,0.0,12,0.39495,0.0
2018-02-06,81,0.0,43,0.20228333333333334,0.1557166666666667
2018-02-08,68,0.0,58,-0.17937142857142857,-0.06758571428571429
2018-02-09,348,0.0,1101,0.196325,-0.206775
2018-02-13,28,0.0,22,0.7717,0.894
2018-02-14,41,0.0,63,0.4618333333333333,-0.4284333333333333
2018-02-15,181,0.0,139,-0.044199999999999996,-0.3093666666666667
2018-02-16,13,0.0,1,0.0,0.8944
2018-02-18,23,0.0,205,0.6597,0.0
2018-02-20,8,0.0,3,0.0,0.1431
2018-02-21,80,0.0,97,0.08321999999999999,-0.13668
2018-02-22,124,0.0,60,0.25384,0.38726
2018-02-23,60,0.0,55,0.0954,0.489
2018-02-24,19,0.0,5,0.4215,-0.4215
2018-02-26,32,0.0,31,0.2294,-0.5306
2018-02-27,51,0.0,157,-0.41055,0.4907
2018-02-28,65,0.0,30,0.4116666666666667,-0.11333333333333334
2018-03-01,65,0.0,210,0.14118,0.09878
2018-03-02,34,0.0,40,-0.48246666666666665,-0.18546666666666667
2018-03-04,19,0.0,7,-0.34,0.0
2018-03-05,95,0.0,111,0.361325,0.42947500000000005
2018-03-06,13,0.0,9,0.926,0.0387
2018-03-07,7,0.0,9,0.008349999999999969,0.148
2018-03-08,21,0.0,21,0.3089,0.4804
2018-03-09,9,0.0,6,-0.3612,0.0
2018-03-12,38,0.0,53,0.5319,-0.5423
2018-03-13,75,0.0,177,0.2828,0.009700000000000005
2018-03-14,62,0.0,178,0.21395,0.29635
2018-03-15,84,0.0,485,-0.61815,0.48625
2018-03-16,56,0.0,208,0.3592,0.4905
2018-03-19,22,0.0,45,0.2218,0.0
2018-03-20,7,0.0,14,0.602975,0.0
2018-03-21,4,0.0,1,-0.06270000000000003,0.0
2018-03-23,36,0.0,14,0.17323333333333335,0.4184666666666667
2018-03-28,249,0.0,290,-0.11104166666666666,0.03335833333333333
2018-03-29,79,0.0,167,0.0020199999999999997,0.18368
2018-03-30,65,0.0,104,0.22847499999999998,0.0
2018-03-31,35,0.0,81,0.4968333333333334,0.18036666666666668
2018-04-01,73,0.0,103,-0.33405,0.4958
2018-04-02,164,0.0,395,0.4864857142857143,0.009099999999999997
2018-04-03,155,0.0,233,0.01823999999999999,0.059199999999999996
2018-04-04,119,0.0,296,0.48475,-0.3744
2018-04-05,90,0.0,125,0.14552,0.16276
2018-04-06,20,0.0,39,0.036199999999999996,0.304025
2018-04-07,114,0.0,433,0.25,0.9999
2018-04-09,136,0.0,291,0.60782,0.39878
2018-04-10,33,0.0,20,0.2202,-0.46555
2018-04-11,35,0.0,31,-0.49985,-0.16115000000000002
2018-04-13,22,0.0,8,0.0,0.5122
2018-04-16,238,0.0,3922,0.6442000000000001,0.0
2018-04-17,5,0.0,5,0.0,0.0
2018-04-18,227,0.0,525,0.56904,0.42588
2018-04-19,120,0.0,3488,-0.049837499999999986,0.053325
2018-04-20,175,0.0,294,0.21681111111111112,0.47328888888888887
2018-04-21,0,0.0,1,-0.5411,0.0
2018-04-22,53,0.0,106,0.0,0.6416
2018-04-24,140,0.0,228,0.38971999999999996,0.15308
2018-04-25,150,0.0,323,0.04082499999999999,0.09864999999999999
2018-04-26,380,0.0,546,0.14754399999999998,0.011263999999999998
2018-04-27,384,0.0,1837,0.2290611111111111,0.18501666666666666
2018-04-28,55,0.0,6,-0.15293333333333334,-0.1416
2018-04-29,13,0.0,18,0.03340000000000001,0.4511
2018-04-30,21,0.0,27,0.5072,0.0
2018-05-01,130,0.0,955,0.0,0.36524999999999996
2018-05-02,82,0.0,219,-0.25704000000000005,0.47382
2018-05-03,3,0.0,17,0.128,0.9776
2018-05-04,32,0.0,86,0.290225,0.1806
2018-05-07,18,0.0,57,0.1779,0.0
2018-05-08,62,0.0,91,0.4846333333333333,0.618
2018-05-09,44,0.0,54,0.11825714285714284,-0.027542857142857143
2018-05-11,64,0.0,29,0.30273333333333335,0.6475
2018-05-12,145,0.0,214,0.07937500000000001,0.044475
2018-05-13,93,0.0,284,0.296,0.7037
2018-05-15,15,0.0,87,0.46340000000000003,0.32663333333333333
2018-05-17,22,0.0,16,0.2987666666666667,0.05930000000000002
2018-05-18,38,0.0,12,0.3023666666666667,0.5238666666666667
2018-05-19,31,0.0,6,0.1779,-0.42685
2018-05-20,181,0.0,257,0.017133333333333334,0.6178666666666667
2018-05-21,29,0.0,3,0.71885,-0.09979999999999999
2018-05-22,14,0.0,8,0.3062,0.9617500000000001
2018-05-23,137,0.0,226,-0.003985714285714291,0.3268714285714286
2018-05-24,4,0.0,21,0.5838,0.41395
2018-05-25,23,0.0,15,0.7424,0.9957
2018-05-27,34,0.0,8,0.8807,0.9766
2018-05-30,45,0.0,19,0.39749999999999996,0.48736666666666667
2018-05-31,21,0.0,13,-0.4588,0.0772
2018-06-01,42,0.0,31,-0.01695000000000002,-0.15355
2018-06-02,18,0.0,5,0.0,0.0
2018-06-04,6,0.0,0,-0.2732,0.8367
2018-06-05,185,0.0,72,0.12475,0.1796
2018-06-06,188,0.0,381,0.014466666666666664,0.19096666666666665
2018-06-07,93,0.0,109,-0.34545000000000003,0.07120000000000001
2018-06-08,45,0.0,10,0.028200000000000003,0.21743333333333328
2018-06-09,25,0.0,93,0.2294,0.47450000000000003
2018-06-11,22,0.0,11,0.1101,0.597325
2018-06-13,38,0.0,24,0.9001,0.8993
2018-06-14,38,0.0,73,0.21621666666666664,0.5678666666666666
2018-06-15,22,0.0,14,0.08895,0.1743
2018-06-17,172,0.0,774,0.09480000000000001,0.008199999999999985
2018-06-18,0,0.0,0,0.4404,0.8555
2018-06-19,16,0.0,5,0.3141,0.80645
2018-06-20,131,0.0,25,0.21326,0.41390000000000005
2018-06-21,140,0.0,16,0.05010000000000003,0.29140000000000005
2018-06-22,17,0.0,60,0.7447,0.26503333333333334
2018-06-23,8,0.0,6,0.6382,0.8181
2018-06-24,72,0.0,69,-0.23823333333333332,0.5530666666666667
