date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2019-06-01,49,0,71,-0.4037,0.9879
2019-06-04,109,0,19,0.54825,-0.064
2019-06-05,191,0,743,-0.16405,0.13856249999999998
2019-06-06,266,0,1418,0.27676666666666666,0.045466666666666655
2019-06-08,0,0,3,0.5948000000000001,0.32976666666666665
2019-06-10,1,0,0,0.0,0.0
2019-06-17,25,0,3,-0.7579,0.0
2019-07-14,47,0,34,-0.37739999999999996,0.0129
2019-07-19,8,0,0,-0.66065,0.0
2019-07-22,66,0,73,0.6705,0.9664
2019-07-23,134,0,131,0.0,0.8385
2019-08-11,132,0,1185,0.5099,0.245775
2019-08-12,1,0,3,0.48823333333333335,0.0
2019-08-14,46,0,11,-0.0772,0.8689
2019-08-21,19,0,7,0.0,0.8074
2019-08-22,36,0,20,0.0,-0.07655
2019-08-25,50,0,30,0.4215,0.9957
2019-08-28,22,0,10,0.4404,0.8481
2019-08-29,62,0,18,0.148,0.29675
2019-08-30,34,0,6,0.0,0.9031
2019-09-06,37,0,31,0.0,0.6208
2019-09-07,8,0,0,0.2023,0.3818
2019-09-09,173,0,91,-0.26687142857142854,0.18024285714285715
2019-09-10,515,0,274,0.34595000000000004,0.212875
2019-09-11,40,0,55,0.03651666666666666,0.23698333333333332
2019-09-12,248,0,304,0.043933333333333345,0.43983333333333335
2019-09-13,8,0,0,-0.1027,0.4215
2019-09-18,15,0,44,0.0,0.8629
2019-09-19,5,0,0,0.0,0.7865
2019-09-23,3,0,38,0.0,0.9983
2019-09-24,7,0,18,0.0,0.9995
2019-09-25,0,0,1,0.0,0.0
2019-09-28,116,0,175,-0.3182,-0.8999
2019-10-07,0,0,1,0.7118,0.0
2019-10-17,9,0,22,0.0,0.9996
2019-10-31,37,0,28,0.4278,0.0
2019-11-01,23,0,63,0.4588,0.9611
2019-11-14,0,0,1,-0.128,0.0
2019-11-25,22,0,2,-0.04074999999999998,-0.05135
2019-11-28,50,0,1,0.4278,0.0
2019-12-01,20,0,1,0.4019,-0.7671
2019-12-05,13,0,1,0.0,0.0772
2019-12-09,570,0,18,-0.038900000000000004,0.06246999999999999
2019-12-10,72,0,7,0.10262857142857143,0.4035428571428571
2019-12-11,162,0,4,-0.1366,0.525575
2019-12-17,75,0,1,0.128,-0.9949
2019-12-30,0,0,1,0.4278,0.0
2019-12-31,52,0,1,0.4278,0.0
2020-01-05,0,0,1,0.0,-0.5316
2020-01-08,7,0,1,0.4588,-0.1027
2020-01-12,1,0,1,-0.8316,0.4215
2020-01-13,9,0,2,0.0,0.46880000000000005
2020-01-14,73,0,2,0.12620000000000003,-0.3071
2020-01-18,0,0,1,0.4588,0.0
2020-01-23,15,0,5,-0.48410000000000003,0.37544
2020-01-26,1,0,1,0.0,0.0
2020-01-29,0,0,1,0.8225,0.0
2020-01-31,43,0,1,0.4278,0.0
2020-02-01,7,0,9,0.2389,0.9728
2020-02-05,16,0,3,-0.09866666666666667,-0.29660000000000003
2020-02-06,2,0,1,0.0,0.5859
2020-02-08,1,0,1,0.25,0.0
2020-02-17,110,0,2,0.7303999999999999,0.97245
2020-02-18,0,0,1,0.792,0.0
2020-02-19,13,0,1,0.4588,0.0
2020-02-20,1,0,1,0.4588,0.9997
2020-02-25,6,0,2,0.148,-0.37725
2020-02-26,0,0,1,-0.296,0.0
2020-02-28,96,0,1,0.4278,0.0
2020-03-09,0,0,4,0.22394999999999998,0.0
2020-03-10,26,0,1,0.0,-0.7803
2020-03-11,0,0,1,-0.0772,0.0
2020-03-12,47,0,2,-0.148,0.972
2020-03-15,16,0,2,0.5292,0.46835
2020-03-16,121,0,1,0.0,0.8247
2020-03-17,1,0,4,-0.314625,0.0
2020-03-18,72,0,9,-0.2294,-0.9233
2020-03-19,95,0,15,-0.020087500000000008,-0.4273375
2020-03-20,101,0,5,-0.11717999999999999,-0.19464
2020-03-21,693,0,7,-0.18358571428571427,-0.44099999999999995
2020-03-22,146,0,2,-0.31845,-0.06584999999999996
2020-03-23,81,0,1,-0.4588,0.7996
2020-03-24,167,0,6,0.05846666666666667,-0.25220000000000004
2020-03-25,258,0,36,-0.23686,0.07318000000000002
2020-03-26,125,0,9,-0.20106666666666664,-0.09716666666666667
2020-03-27,0,0,1,-0.7184,0.0
2020-03-31,73,0,2,0.26335,0.4934
2020-04-01,15,0,2,-0.24355,-0.20685
2020-04-02,0,0,1,-0.8668,0.0
2020-04-03,0,0,1,0.0,0.0
2020-04-06,111,0,38,0.1969,0.03886666666666667
2020-04-08,53,0,15,0.5106,0.5425
2020-04-09,49,0,10,-0.07067499999999999,-0.07955
2020-04-13,167,0,44,-0.2883,0.4925
2020-04-14,240,0,128,-0.1095142857142857,-0.23192857142857143
2020-04-15,42,0,17,-0.1147,0.0
2020-04-16,56,0,23,-0.28595,-0.38465
2020-04-17,76,0,14,0.5259,-0.4908
2020-04-18,0,0,1,0.0,0.0
2020-04-19,242,0,1,0.0,0.893
2020-04-20,43,0,1,-0.7184,-0.7783
2020-04-21,15,0,4,0.0,0.0
2020-04-22,25,0,2,0.64745,0.445
2020-04-23,46,0,3,0.19986666666666672,0.8524666666666666
2020-04-27,3,0,4,-0.4588,0.7184
2020-04-28,36,0,3,0.7155499999999999,0.4934
2020-04-29,34,0,3,-0.11673333333333331,0.3196
2020-04-30,107,0,2,0.33525,0.3544
2020-05-03,35,0,1,0.0,-0.6369
2020-05-08,14,0,1,-0.296,0.0
2020-05-27,367,0,1,0.0,-0.9992
2020-05-31,70,0,10,0.2139,-0.42945
2020-06-01,9,0,0,-0.4588,0.0
2020-06-02,0,0,1,0.4588,0.0
2020-06-04,126,0,2,0.7159,0.926
2020-06-05,0,0,1,0.3089,0.0
2020-06-06,0,0,2,0.15445,0.4999
2020-06-07,0,0,1,0.3089,0.0
2020-06-08,5,0,3,0.6495,0.0
2020-06-09,1,0,4,0.279575,0.0
2020-06-10,2,0,4,-0.1147,0.0
2020-06-11,23,0,8,0.0,0.0
2020-06-13,183,0,170,0.296,0.8886
2020-06-17,60,0,9,0.2769,-0.11554999999999999
2020-06-18,45,0,5,-0.7184,-0.5023
2020-06-19,31,0,1,0.0,0.9737
2020-07-01,66,0,1,0.4278,0.0
2020-07-03,6,0,1,-0.4588,-0.6398
2020-07-21,27,0,1,0.0,0.0
2020-07-30,7,0,1,-0.0516,-0.1943
2020-08-01,60,0,1,0.4278,0.0
2020-08-04,3,0,3,0.11043333333333334,0.0
2020-08-05,2,0,1,0.0,0.0
2020-08-19,33,0,1,-0.296,0.9195
2020-08-21,0,0,1,0.0,0.0
2020-08-28,2,0,1,-0.2263,0.0
2020-08-29,21,0,1,0.4278,-0.0679
