date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2022-02-01,3,0,8,-0.0600625,0.5979875
2022-02-02,11,0,16,0.07398125000000001,0.050268749999999994
2022-02-03,6,0,7,-0.006557142857142865,-0.0986142857142857
2022-02-04,5,0,12,0.07160833333333334,0.10239166666666666
2022-02-05,5,0,8,0.276625,0.5827
2022-02-06,0,0,3,0.08589999999999999,0.7528
2022-02-07,9,0,6,0.07698333333333333,0.5797
2022-02-08,7,0,6,-0.08021666666666666,0.5802166666666667
2022-02-09,141,0,11,0.014909090909090912,0.3057727272727273
2022-02-10,428,0,14,-0.08149285714285714,-0.16390714285714286
2022-02-11,2967,0,30,-0.23487333333333332,0.022246666666666668
2022-02-12,922,0,23,0.03318260869565217,0.05359565217391304
2022-02-13,250,0,10,-0.22599999999999998,-0.17307
2022-02-14,948,0,10,0.25585,0.017580000000000005
2022-02-15,652,0,13,0.08749230769230769,0.31808461538461535
2022-02-16,296,0,9,-0.15496666666666664,-0.14952222222222222
2022-02-17,522,0,15,-0.09128666666666667,0.11585333333333334
2022-02-18,196,0,12,-0.023083333333333334,0.12219166666666666
2022-02-19,272,0,10,-0.10783000000000001,0.08545
2022-02-20,347,0,6,0.09315000000000001,0.05531666666666666
2022-02-21,325,0,5,0.14368,0.36536
2022-02-22,772,0,25,-0.16505416666666667,-0.015541666666666667
2022-02-23,1128,0,20,-0.18640526315789474,0.08743684210526316
2022-02-24,3932,0,28,-0.11327142857142856,-0.053889285714285716
2022-02-25,283,0,10,0.10642000000000003,0.24146
2022-02-26,684,0,16,0.04925000000000001,0.05986875
2022-02-27,294,0,7,-0.13308571428571428,-0.08787142857142857
2022-02-28,404,0,13,0.011169230769230756,0.3677923076923077
2022-03-01,218,0,12,-0.026099999999999998,0.41851666666666665
2022-03-02,495,0,11,0.07300000000000001,0.7312363636363636
2022-03-03,101,0,10,0.22543000000000002,0.21042999999999998
2022-03-04,296,0,7,-0.00814285714285715,0.6016714285714285
2022-03-05,48,0,4,-0.26435,-0.0026750000000000107
2022-03-06,106,0,6,-0.3095,-0.048850000000000005
2022-03-07,6,0,15,-0.17418666666666666,0.023413333333333338
2022-03-08,7,0,15,0.11388666666666666,0.2786133333333333
2022-03-09,2,0,7,0.3601571428571429,0.1709285714285714
2022-03-10,0,0,3,-0.15293333333333334,0.7488333333333334
2022-03-11,3,0,10,0.28946,0.5361100000000001
2022-03-12,4,0,13,-0.019207692307692315,-0.2244923076923077
2022-03-13,5,0,7,0.7096714285714285,-0.2647714285714286
2022-03-14,2,0,6,0.17793333333333336,-0.17454999999999998
2022-03-15,0,0,8,0.1417,0.5435
2022-03-16,2,0,3,-0.293,0.2981333333333333
2022-03-17,5,0,10,0.1086111111111111,0.18006666666666668
2022-03-18,2,0,11,0.17551818181818182,0.18297272727272726
2022-03-19,6,0,13,-0.21530000000000002,0.11467692307692309
2022-03-20,0,0,2,0.2997,0.99115
2022-03-21,3,0,10,-0.050430000000000016,0.15414
2022-03-22,1,0,7,-0.0783,0.5613857142857143
2022-03-23,2,0,7,-0.07294285714285716,0.2660142857142857
2022-03-24,1,0,6,-0.3106333333333333,-0.03488333333333334
2022-03-25,0,0,5,0.17026,0.7262000000000001
2022-03-26,0,0,10,0.21992000000000003,0.51192
2022-03-27,3,0,5,0.09330000000000002,-0.44445999999999997
2022-03-28,1,0,4,-0.191775,-0.22065
2022-03-29,110,3,188,0.016038461538461522,0.11496923076923077
2022-03-30,21,0,19,0.11681111111111113,0.055555555555555566
2022-03-31,0,0,6,0.05976666666666666,0.37328333333333336
2022-04-01,3,0,7,-0.13101428571428572,0.5311571428571429
2022-04-02,1,0,8,0.2957,0.6265125
2022-04-03,0,0,2,-0.2143,-0.4188
2022-04-04,2,0,4,-0.06992499999999997,0.4579
2022-04-05,3,0,5,0.10746,0.0
2022-04-06,5,0,10,0.0036599999999999966,0.29918
2022-04-07,4,0,7,-0.027200000000000002,0.3647571428571429
2022-04-08,1,0,6,0.6413333333333333,0.1701
2022-04-09,1,0,4,0.0,-0.241175
2022-04-10,0,0,6,0.35379999999999995,0.3299
2022-04-11,3,0,5,-0.18214,0.43613999999999997
2022-04-12,2,0,8,-0.1594,-0.49893750000000003
2022-04-13,2,0,9,0.010333333333333342,0.08984444444444445
2022-04-14,1,0,3,-0.29436666666666667,0.32880000000000004
2022-04-15,1,0,3,-0.07276666666666666,0.6643666666666667
2022-04-16,0,0,3,-0.14049999999999999,0.6032333333333333
2022-04-17,0,0,1,0.7184,0.0
2022-04-18,0,0,2,0.125,0.29545
2022-04-19,1,0,5,0.22488000000000002,0.59634
2022-04-20,0,0,2,0.4086,0.46875
2022-04-21,4,0,10,-0.17147,0.34323
2022-04-22,12,0,15,-0.08432,0.12606
2022-04-23,4,0,10,-0.12399,-0.04298
2022-04-24,0,0,8,-0.022012500000000004,0.22915
2022-04-25,22,0,20,-0.029811764705882347,0.18132352941176472
2022-04-26,8,0,12,0.051733333333333346,0.041666666666666664
2022-04-27,7,0,16,-0.06990625,0.014699999999999998
2022-04-28,6,0,17,0.1938,-0.06033529411764705
2022-04-29,3,0,15,0.16052142857142856,0.06437142857142857
2022-04-30,3,0,9,-0.09952222222222222,-0.1150888888888889
2022-05-01,11,0,19,0.008733333333333334,0.12571666666666664
2022-05-02,3,0,7,-0.23371428571428574,-0.2843428571428571
2022-05-03,1,0,10,0.0007199999999999984,0.54181
2022-05-04,4,0,12,0.06931666666666668,0.39008333333333334
2022-05-05,8,0,20,-0.14634,0.083985
2022-05-06,10,0,24,0.13770000000000002,0.106375
2022-05-07,2,0,5,-0.10874000000000002,-0.22744
2022-05-08,4,0,15,0.01960000000000001,0.21770000000000003
2022-05-09,9,0,30,-0.006496666666666665,0.17053666666666664
2022-05-10,5,0,18,-0.08383333333333333,0.3089555555555556
2022-05-11,9,0,24,-0.017558333333333325,0.07304166666666666
2022-05-12,2,0,10,-0.17664,-0.022809999999999997
2022-05-13,4,0,12,0.02207500000000001,0.20166666666666666
2022-05-14,5,0,15,-0.20482666666666666,-0.01588
2022-05-15,1,0,4,-0.164925,0.490975
2022-05-16,5,0,11,-0.3113,-0.37970000000000004
2022-05-17,1,0,15,0.15898,0.41794
2022-05-18,0,0,8,-0.3074125,0.038275
2022-05-19,3,0,14,0.03977142857142857,0.2660214285714286
2022-05-20,6,0,21,-0.08882000000000001,-0.058105
2022-05-21,3,0,9,-0.03597777777777777,-0.3492777777777778
2022-05-22,4,0,8,0.1785625,0.2625375
2022-05-23,3,0,15,-0.13984,0.16729333333333332
2022-05-24,1,0,8,0.3208875,0.24485
2022-05-25,4,0,13,0.18446923076923077,0.21443076923076923
2022-05-26,4,0,12,-0.17402499999999999,0.16263333333333332
2022-05-27,3,0,11,-0.03997272727272727,0.019490909090909093
2022-05-28,1,0,8,-0.0616125,-0.1874625
2022-05-29,0,0,4,0.0946,0.1828
2022-05-30,2,0,4,-0.3628,-0.08097500000000002
2022-05-31,1,0,2,0.2592,-0.49105
2022-06-01,3,0,12,0.12015833333333333,0.012341666666666667
2022-06-02,2,0,7,0.17707142857142857,0.09777142857142858
2022-06-03,3,0,8,0.0001375000000000126,0.13022500000000004
2022-06-04,4,0,6,-0.3168,0.03903333333333333
2022-06-05,1,0,7,0.16387142857142858,0.46511428571428576
2022-06-06,1,0,5,-0.13194,-0.17831999999999998
2022-06-07,3,0,6,0.0999,0.18308333333333335
2022-06-08,2,0,7,0.4539857142857143,0.4219
2022-06-09,2,0,5,0.0,0.19954
2022-06-10,3,0,14,-0.10496428571428572,0.003135714285714281
2022-06-11,0,0,7,-0.05992857142857143,0.21428571428571427
2022-06-12,3,0,16,-0.2274625,-0.218725
2022-06-13,16,0,30,-0.27588333333333337,0.10948000000000001
2022-06-14,4,0,12,0.14459999999999998,0.20438333333333333
2022-06-15,5,0,15,-0.040973333333333334,0.19745333333333331
2022-06-16,9,0,27,0.08575185185185186,0.042529629629629626
2022-06-17,7,0,17,0.1645058823529412,0.13838235294117648
2022-06-18,3,0,12,0.01879166666666667,0.14601666666666666
2022-06-19,0,0,1,-0.7184,-0.9745
2022-06-20,4,0,9,-0.08971111111111112,0.27426666666666666
2022-06-21,4,0,11,0.2796181818181818,0.08234545454545454
2022-06-22,2,0,8,-0.14675000000000002,-0.3263
2022-06-23,2,0,6,-0.17631666666666668,0.3524333333333334
2022-06-24,4,0,17,-0.1824235294117647,0.13176470588235295
2022-06-25,1,0,9,0.04886666666666666,-0.038277777777777765
2022-06-26,5,0,13,0.1138,0.33053076923076924
2022-06-27,4,0,12,-0.08486666666666669,0.20877500000000002
2022-06-28,6,0,14,0.14702857142857143,0.3349357142857143
2022-06-29,3,0,15,0.25568,0.5426466666666666
2022-06-30,2,0,15,0.060973333333333324,0.003959999999999993
