date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2019-09-01,0,0,1,0.0,0.0
2019-09-02,0,0,2,0.0,0.0
2019-09-03,51,0,45,0.2394666666666667,-0.26733333333333337
2019-09-04,19,0,60,-0.15825000000000003,0.0
2019-09-06,36,0,6,0.0,-0.6908
2019-09-09,8,0,3,0.12765,0.632225
2019-09-10,30,0,85,0.5106,0.9503
2019-09-11,105,0,70,0.6110000000000001,0.2781
2019-09-12,23,0,2,0.4773666666666667,0.0
2019-09-13,1,0,3,0.32553333333333334,-0.28963333333333335
2019-09-14,0,0,1,-0.7184,0.0
2019-09-16,70,0,58,0.23626666666666665,0.07269999999999999
2019-09-17,1,0,3,0.3924,0.0785
2019-09-18,0,0,1,0.1835,0.0
2019-09-19,46,0,62,0.05264,0.2408
2019-09-21,0,0,2,-0.17,0.4962
2019-09-23,0,0,1,0.0,0.0
2019-09-24,2,0,3,0.03713333333333334,0.5159333333333334
2019-09-25,55,0,46,-0.72055,0.60085
2019-09-26,37,0,12,0.0,0.35015
2019-09-27,158,0,193,-0.3825,-0.11969999999999997
2019-09-28,47,0,2,0.4727666666666666,0.29263333333333336
2019-09-29,0,0,1,0.4588,0.0
2019-10-01,85,0,132,0.0,0.0
2019-10-02,151,0,172,0.12368333333333333,0.06486666666666666
2019-10-03,30,0,25,0.1539,-0.0003142857142857273
2019-10-05,0,0,1,-0.34,0.0
2019-10-06,0,0,2,0.0,0.0
2019-10-07,167,0,629,0.12040000000000001,0.333
2019-10-08,262,0,310,0.20487499999999997,0.033299999999999996
2019-10-09,30,0,6,0.0,0.15000000000000002
2019-10-10,0,0,2,0.80925,0.0
2019-10-11,124,0,56,0.4347666666666667,0.3961666666666666
2019-10-12,0,0,1,0.5859,0.0
2019-10-14,1,0,3,0.29833333333333334,0.0
2019-10-15,95,0,95,0.2275,0.15293333333333334
2019-10-16,12,0,4,0.0,0.836
2019-10-17,45,0,32,0.2294,0.4999
2019-10-18,5730,0,930,0.2815142857142857,-0.018842857142857144
2019-10-19,43,0,48,-0.3592,0.6805
2019-10-20,157,0,3183,-0.12796666666666667,0.06743333333333333
2019-10-21,65,0,29,0.13980000000000004,0.71885
2019-10-22,60,0,17,0.007200000000000012,0.011375000000000024
2019-10-23,545,0,1003,0.10482272727272726,0.09708181818181817
2019-10-24,1008,0,4928,0.16871041666666667,0.14745
2019-10-25,1100,0,4873,0.175428,0.243184
2019-10-26,224,0,4949,0.15051666666666666,-0.07996666666666667
2019-10-27,189,0,527,0.06585,0.4307916666666667
2019-10-28,18,0,6,0.15181999999999998,0.21508
2019-10-29,156,0,511,0.34140000000000004,0.11379999999999998
2019-10-30,21,0,18,0.0,0.32003333333333334
2019-10-31,8,0,8,0.3592,0.4088
2019-11-01,23,0,63,0.4588,0.9879
2019-11-02,202,0,760,0.21782500000000002,-0.0193
2019-11-03,26,0,67,0.0,0.9588000000000001
2019-11-04,78,0,463,0.25528,0.18806
2019-11-05,92,0,27,0.16146666666666668,0.6598666666666667
2019-11-06,29,0,8,0.3073375,0.0
2019-11-07,3,0,2,-0.3062,0.32789999999999997
2019-11-08,0,0,1,0.1501,0.0
2019-11-09,0,0,1,0.0516,0.0
2019-11-10,0,0,1,0.0,0.0
2019-11-11,130,0,7,0.03911428571428571,0.3525571428571429
2019-11-12,272,0,8,0.09712499999999999,0.42535
2019-11-13,46,0,6,0.08298333333333334,0.42811666666666665
2019-11-15,125,0,3,-0.2523,-0.6403333333333333
2019-11-16,62,0,2,-0.39625,-0.34405
2019-11-17,136,0,4,-0.259325,-0.09467500000000001
2019-11-18,79,0,5,0.0676,-0.04284
2019-11-19,254,0,17,-0.041246153846153835,0.2845384615384615
2019-11-20,0,0,4,0.56925,0.21005000000000001
2019-11-21,4311,0,80,0.14967,0.0948475
2019-11-22,904,0,39,0.24921282051282054,0.12995641025641025
2019-11-23,243,0,26,0.32989230769230765,0.30447692307692303
2019-11-24,15,0,20,0.1436,0.09519
2019-11-25,0,0,8,-0.0897125,0.0
2019-11-26,1019,0,8,0.3228125,0.16391250000000002
2019-11-27,61,0,4,0.013325000000000004,0.1813
2019-11-28,139,0,6,0.026116666666666667,0.010766666666666666
2019-11-29,77,0,7,-0.1874,0.05725714285714285
2019-11-30,0,0,1,0.0772,0.0
2019-12-01,4,0,2,0.08785000000000001,0.48575
2019-12-02,4,0,2,-0.07655,0.45065
2019-12-03,283,0,5,0.04182000000000001,0.2798
2019-12-04,109,0,7,0.4638714285714286,0.2854857142857143
2019-12-05,14,0,2,-0.32995,0.49155
2019-12-06,65,0,2,0.33525,0.2848
2019-12-07,33,0,1,0.0,-0.9022
2019-12-08,18,0,5,-0.16898,0.19907999999999998
2019-12-09,209,0,17,0.0872909090909091,0.27355454545454544
2019-12-10,169,0,5,0.22006,0.57748
2019-12-11,90,0,7,0.48925714285714283,-0.17945714285714284
2019-12-12,112,0,6,-0.0665,-0.06656666666666665
2019-12-13,105,0,6,0.17761666666666667,0.6153833333333333
2019-12-14,73,0,3,-0.425,-0.23653333333333335
2019-12-15,79,0,7,0.4098,0.23487142857142856
2019-12-16,31,0,4,0.22462500000000002,0.36855
2019-12-17,286,0,6,-0.12073333333333336,-0.14111666666666667
2019-12-18,280,0,13,-0.1434666666666667,0.22431111111111107
2019-12-19,584,0,14,0.16510714285714287,0.5419642857142858
2019-12-20,41,0,5,0.50446,0.06146000000000003
2019-12-21,61,0,5,0.12738,0.33306
2019-12-22,1037,0,63,0.18324285714285715,0.08690634920634921
2019-12-23,198,0,19,0.1810578947368421,0.1154684210526316
2019-12-24,134,0,7,0.24335714285714286,0.31144285714285713
2019-12-25,386,0,11,0.20696363636363638,0.27794545454545455
2019-12-26,78,0,6,0.27738333333333337,0.03961666666666667
2019-12-27,148,0,5,0.0020399999999999975,0.22534
2019-12-28,215,0,3,0.4789333333333334,0.0
2019-12-29,398,0,16,0.09441250000000001,0.18449375
2019-12-30,185,0,11,-0.08462727272727273,0.24128181818181818
2019-12-31,104,0,4,0.1796,0.54
