date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2016-01-02,50,0.0,17,0.0,0.8458
2016-01-03,69,0.0,34,0.148,0.99885
2016-01-04,96,0.0,97,0.25905,0.180125
2016-01-05,102,0.0,28,-0.09106666666666667,0.6386666666666666
2016-01-06,5,0.0,3,0.0,0.7888
2016-01-07,77,0.0,79,0.13715714285714287,0.17765714285714287
2016-01-08,60,0.0,16,0.10695,0.604575
2016-01-09,36,0.0,11,0.0,0.48275
2016-01-10,218,0.0,122,0.09106666666666667,0.0
2016-01-11,19,0.0,63,-0.31835,0.403625
2016-01-12,0,0.0,1,0.0,0.0
2016-01-13,2,0.0,1,0.0,0.0
2016-01-14,60,0.0,10,-0.5574,0.7559
2016-01-15,38,0.0,6,-0.1366,0.2344
2016-01-18,126,0.0,202,0.3182,-0.9169
2016-01-19,8,0.0,2,-0.27055,0.32
2016-01-20,2,0.0,0,0.0,0.8156
2016-01-21,86,0.0,29,-0.1589,0.33153333333333335
2016-01-22,86,0.0,43,0.1468,0.009766666666666665
2016-01-24,48,0.0,16,0.0516,0.0
2016-01-25,68,0.0,56,-0.05135,-0.29864999999999997
2016-01-26,214,0.0,94,0.103,-0.12664545454545453
2016-01-27,117,0.0,47,0.09086666666666668,0.1103
2016-01-28,15,0.0,0,0.0,0.0
2016-01-30,49,0.0,104,0.6369,-0.9288
2016-02-01,29,0.0,30,-0.2997,-0.29245
2016-02-02,26,0.0,1,0.0,0.3716
2016-02-03,12,0.0,4,-0.4404,0.8619
2016-02-04,26,0.0,28,0.0,0.8689
2016-02-08,0,0.0,1,0.4404,0.0
2016-02-09,1,0.0,1,0.0,0.13015
2016-02-10,2,0.0,5,0.2023,-0.9393
2016-02-11,10,0.0,15,-0.17,-0.009550000000000003
2016-02-13,0,0.0,1,0.0,0.0
2016-02-17,142,0.0,193,0.0,-0.9542
2016-02-18,18,0.0,19,0.3818,0.9702
2016-02-20,19,0.0,10,0.0,0.813
2016-02-21,9,0.0,0,0.0,-0.9407
2016-02-23,32,0.0,1,0.0,-0.34
2016-02-24,20,0.0,1,0.0,0.0
2016-03-01,26,0.0,0,0.0,0.9738
2016-03-02,73,0.0,66,-0.07196666666666666,-0.29973333333333335
2016-03-04,44,0.0,55,0.11315,0.05085
2016-03-07,5,0.0,5,0.347,-0.1655
2016-03-11,16,0.0,8,0.0,0.0
2016-03-14,12,0.0,2,-0.5994,-0.9632
