date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2020-06-03,244,0,2,-0.05135,0.0
2020-06-04,0,0,2,-0.2997,0.0
2020-06-06,0,0,1,0.0,0.9998
2020-06-08,0,0,1,-0.6597,0.0
2020-06-09,1,0,7,0.020128571428571433,0.0
2020-06-10,0,0,3,-0.4171666666666667,0.0
2020-06-12,46,0,55,0.0,-0.7229
2020-06-13,56,0,53,0.5574,0.2998
2020-06-17,33,0,1,0.0,0.9581
2020-06-18,14,0,0,0.8415,0.9246
2020-06-19,88,0,3,0.0,-0.07103333333333332
2020-07-02,17,0,1,0.0,0.7903
2020-07-04,15,0,4,0.0,0.0
2020-07-07,131,0,1,-0.5423,0.5255
2020-07-08,15,0,1,0.0,-0.8622
2020-07-13,39,0,1,0.0,-0.9147
2020-07-14,132,0,35,0.17,0.5689500000000001
2020-07-16,70,0,1,0.1027,-0.7351
2020-08-04,57,0,1,0.7925,0.2725
2020-08-05,61,0,3,-0.05129999999999999,0.8941666666666667
2020-08-13,34,0,1,0.4019,0.6486
2020-08-14,45,0,4,0.135775,-0.296825
2020-08-16,35,0,1,0.0,-0.9692
2020-08-19,11,0,2,-0.148,0.0
2020-08-21,49,0,1,0.1695,-0.5367
2020-08-22,11,0,1,0.0,0.979
2020-08-24,26,0,2,0.30515,0.4632
2020-08-27,65,0,4,0.2158,-0.38780000000000003
2020-08-28,27,0,2,-0.2787,0.46115
2020-08-31,10,0,2,0.71275,0.43615
2020-09-02,4,0,2,0.0,0.0
2020-09-03,4,0,2,0.2202,0.0
2020-09-04,22,0,2,-0.21075,0.09950000000000003
2020-09-10,2,0,1,0.0,0.0
2020-09-11,2,0,1,0.0,0.0
2020-09-14,0,0,1,-0.4019,0.0
2020-09-16,54,0,4,0.23375,0.249425
2020-10-05,132,0,2,-0.08895,0.2695
2020-10-06,95,0,3,0.0,0.3907333333333334
2020-10-07,4,0,1,0.6908,0.6784
2020-10-08,8,0,1,0.0,0.0094
2020-10-09,37,0,2,0.0,0.24695
2020-10-10,4,0,2,-0.2263,0.0
2020-10-13,25,0,2,-0.36995,0.4561
2020-10-14,165,0,6,-0.0999,0.30921666666666664
2020-10-15,40,0,3,-0.1858,0.025833333333333337
2020-10-16,165,0,11,-0.0727181818181818,0.1234909090909091
2020-10-18,111,0,3,-0.1998,-0.8475
2020-10-20,19,0,1,-0.3818,-0.6808
2020-10-21,91,0,1,-0.8176,-0.8622
2020-10-23,12,0,1,0.0,0.4098
2020-10-25,50,0,3,-0.21989999999999998,0.15406666666666666
2020-10-26,26,0,1,0.0,-0.6924
2020-10-27,16,0,2,-0.2023,0.0
2020-10-28,8,0,1,0.0,0.9393
2020-10-31,26,0,1,0.0,0.0
2020-11-02,123,0,4,0.006525000000000003,0.34650000000000003
2020-11-03,8,0,1,0.0,0.34
2020-11-07,1,0,1,0.481,0.8816
2020-11-08,100,0,8,0.040712500000000006,0.1171625
2020-11-09,25,0,5,-0.08668,0.0
2020-11-10,21,0,1,0.631,0.0
2020-11-11,13,0,1,0.5106,0.0
2020-11-13,80,0,1,0.34,0.7265
2020-11-15,460,6,420,0.0315125,0.269525
2020-11-16,105,0,23,0.2553,0.5430999999999999
2020-11-17,0,0,1,0.0,0.0
2020-11-18,128,1,86,0.125,0.9773499999999999
2020-11-19,0,0,1,0.0,0.0
2020-11-22,20,0,2,0.0,-0.4564
2020-11-23,39,0,3,0.35483333333333333,0.12966666666666668
2020-11-24,125,0,4,-0.01810000000000002,-0.34015
2020-11-27,12,0,1,0.0,0.5558
2020-11-28,8,0,2,0.0,0.25855
2020-11-29,0,0,1,0.0,0.0
2020-12-01,2,0,1,0.8225,0.4588
2020-12-02,18,0,3,0.11333333333333334,-0.19756666666666667
2020-12-03,50,0,5,0.026959999999999994,0.39588
2020-12-04,124,1,32,0.13924,0.0
2020-12-05,18,0,1,0.0,0.9715
2020-12-06,31,0,4,-0.082275,0.005775000000000002
2020-12-07,26,0,1,0.0,0.8937
2020-12-08,0,0,1,0.296,0.0
2020-12-09,15,0,2,0.0,0.9023
2020-12-11,77,0,1,-0.1531,0.0
2020-12-12,72,0,1,-0.3182,0.6619
2020-12-13,123,0,2,0.0,0.0
2020-12-14,268,0,5,-0.24724000000000004,0.17886
2020-12-15,2,0,2,0.0,0.0
2020-12-16,0,0,1,0.0,0.0
2020-12-17,6,0,2,0.1366,0.0
2020-12-18,62,1,7,0.44494999999999996,0.0
2020-12-19,4,0,1,0.0,0.9735
2020-12-20,54,0,2,0.31245,-0.125
2020-12-21,64,0,1,0.0,0.802
2020-12-22,44,0,4,0.318325,-0.0086
2020-12-23,31,0,2,0.17975,0.91065
2020-12-24,8,0,1,0.0,0.9863
2020-12-25,5,0,2,0.0,-0.28535
2020-12-27,13,0,2,0.35050000000000003,-0.09485
2020-12-28,155,0,4,-0.2787,0.159225
2020-12-29,4,0,10,0.43488,0.0
2020-12-30,35,0,4,0.2797,0.131375
