date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2018-01-02,165,0.0,561,0.2924,-0.2827
2018-01-03,70,0.0,209,-0.1832666666666667,-0.3292333333333333
2018-01-04,8,0.0,0,0.4199,0.0
2018-01-06,22,0.0,12,0.0,0.802
2018-01-07,206,0.0,4117,0.10115,0.0
2018-01-09,14,0.0,16,0.3612,-0.3286
2018-01-11,13,0.0,56,0.2665,0.0
2018-01-12,105,0.0,127,0.3168,0.2443
2018-01-13,0,0.0,1,0.5106,0.0
2018-01-16,79,0.0,101,0.26335,0.045
2018-01-19,32,0.0,104,0.0,0.0129
2018-01-20,19,0.0,6,0.0736,0.7274
2018-01-22,13,0.0,7,0.0,0.0
2018-01-23,36,0.0,16,-0.5859,0.0
2018-01-24,119,0.0,137,-0.0788,0.08808
2018-01-25,60,0.0,136,0.015859999999999985,-0.054459999999999995
2018-01-26,74,0.0,104,0.26508333333333334,0.3671666666666667
2018-01-28,121,0.0,76,0.14604,-0.001540000000000008
2018-01-29,84,0.0,411,0.1186,0.5166666666666666
2018-01-30,31,0.0,8,0.12656,0.17099999999999999
2018-01-31,61,0.0,51,0.22449999999999998,0.2737428571428571
2018-02-01,297,0.0,275,-0.08022857142857143,0.005264285714285721
2018-02-02,353,0.0,1470,0.040119047619047624,0.01601904761904762
2018-02-03,34,0.0,86,0.0,0.0
2018-02-04,41,0.0,53,0.4111,0.132
2018-02-05,6,0.0,12,-0.21075,0.0
2018-02-06,81,0.0,43,0.19521666666666668,0.050466666666666694
2018-02-08,68,0.0,58,-0.11632857142857143,0.03625714285714286
2018-02-09,348,0.0,1101,0.196325,-0.234
2018-02-13,28,0.0,22,0.1779,0.894
2018-02-14,41,0.0,63,0.29906666666666665,0.019033333333333347
2018-02-15,181,0.0,139,-0.044199999999999996,-0.2808333333333333
2018-02-16,13,0.0,1,0.0,0.29675
2018-02-18,23,0.0,205,0.296,0.0
2018-02-20,8,0.0,3,0.0,0.1431
2018-02-21,80,0.0,97,0.08042,-0.24358
2018-02-22,124,0.0,60,0.14092,0.23011999999999996
2018-02-23,60,0.0,55,-0.0193,0.35585
2018-02-24,19,0.0,5,0.4215,-0.4215
2018-02-26,32,0.0,31,0.0,-0.80635
2018-02-27,51,0.0,157,-0.05135,0.4887
2018-02-28,65,0.0,30,0.09223333333333335,-0.11333333333333334
2018-03-01,65,0.0,210,-0.0845,-0.0843
2018-03-02,34,0.0,40,-0.05403333333333334,0.23246666666666668
2018-03-04,19,0.0,7,-0.34,0.0
2018-03-05,95,0.0,111,-0.131575,0.425025
2018-03-06,13,0.0,9,0.8176,-0.431
2018-03-07,7,0.0,9,0.24695,0.148
2018-03-08,21,0.0,21,0.3089,-0.3818
2018-03-09,9,0.0,6,-0.3612,0.0
2018-03-12,38,0.0,53,0.5319,-0.5423
