date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2019-06-01,49,0,71,-0.1591,0.6604
2019-06-04,109,0,19,0.10730000000000003,-0.064
2019-06-05,191,0,743,-0.1740625,0.1451625
2019-06-06,266,0,1418,0.2685166666666667,0.16378333333333334
2019-06-08,0,0,3,0.3491666666666667,0.3299666666666667
2019-06-10,1,0,0,0.0,0.0
2019-06-17,25,0,3,-0.128,0.0
2019-07-14,47,0,34,-0.148,0.0129
2019-07-19,8,0,0,0.17,0.0
2019-07-22,66,0,73,0.5106,0.9936
2019-07-23,134,0,131,0.0,0.755
2019-08-11,132,0,1185,0.07950000000000002,0.235325
2019-08-12,1,0,3,0.48823333333333335,0.0
2019-08-14,46,0,11,-0.0772,-0.296
2019-08-21,19,0,7,0.0,0.8074
2019-08-22,36,0,20,0.0,-0.2787
2019-08-25,50,0,30,0.4215,0.8176
2019-08-28,22,0,10,0.4404,0.4939
2019-08-29,62,0,18,0.148,0.29675
2019-08-30,34,0,6,0.0,0.4847
2019-09-06,37,0,31,0.0,0.2655
2019-09-07,8,0,0,0.2023,0.3818
2019-09-09,173,0,91,-0.14414285714285713,0.2597857142857143
2019-09-10,515,0,274,0.07655,0.124325
2019-09-11,40,0,55,-0.21091666666666667,-0.04573333333333333
2019-09-12,248,0,304,0.043933333333333345,0.15723333333333334
2019-09-13,8,0,0,-0.1027,0.4215
2019-09-18,15,0,44,0.0,0.7195
2019-09-19,5,0,0,0.0,0.9175
2019-09-23,3,0,38,0.0,-0.4004
2019-09-24,7,0,18,0.0,0.9988
2019-09-25,0,0,1,0.0,0.0
2019-09-28,116,0,175,-0.3182,-0.9216
2019-10-07,0,0,1,0.7118,0.0
2019-10-17,9,0,22,0.0,0.9964
2019-10-31,37,0,28,0.4278,0.0
2019-11-01,23,0,63,0.0,0.9701
2019-11-14,0,0,1,0.5106,0.0
2019-11-25,22,0,2,0.41695000000000004,-0.26335
2019-11-28,50,0,1,0.4278,0.0
2019-12-01,20,0,1,0.4019,-0.1607
2019-12-05,13,0,1,0.0,0.6486
2019-12-09,570,0,18,-0.10798,0.03151999999999999
2019-12-10,72,0,7,0.0,0.45694285714285715
2019-12-11,162,0,4,0.123175,0.448525
2019-12-17,75,0,1,0.128,-0.9919
2019-12-30,0,0,1,0.4278,0.0
2019-12-31,52,0,1,0.4278,0.0
2020-01-05,0,0,1,0.0,-0.5316
2020-01-08,7,0,1,0.0,0.1027
2020-01-12,1,0,1,-0.8316,0.4215
2020-01-13,9,0,2,0.2294,0.70635
2020-01-14,73,0,2,0.12620000000000003,-0.3071
2020-01-18,0,0,1,0.0,0.0
2020-01-23,15,0,5,-0.04526,0.38242000000000004
2020-01-26,1,0,1,0.0,0.0
2020-01-29,0,0,1,0.3818,0.0
2020-01-31,43,0,1,0.4278,0.0
2020-02-01,7,0,9,0.2389,0.8816111111111111
2020-02-05,16,0,3,-0.09866666666666667,-0.2833333333333333
2020-02-06,2,0,1,0.0,0.5859
2020-02-08,1,0,1,0.25,0.0
2020-02-17,110,0,2,0.0,0.9151
2020-02-18,0,0,1,0.0,0.0
2020-02-19,13,0,1,0.0,0.0
2020-02-20,1,0,1,0.0,0.9171
2020-02-25,6,0,2,0.31845,-0.46885
2020-02-26,0,0,1,-0.296,0.0
2020-02-28,96,0,1,0.4278,0.0
2020-03-09,0,0,4,0.22394999999999998,0.0
2020-03-10,26,0,1,0.0,-0.7033
2020-03-11,0,0,1,-0.0772,0.0
2020-03-12,47,0,2,-0.148,0.96235
2020-03-15,16,0,2,0.17,0.0
2020-03-16,121,0,1,0.0,-0.9924
2020-03-17,1,0,4,0.146475,0.0
2020-03-18,72,0,9,-0.2294,-0.88655
2020-03-19,95,0,15,0.035500000000000004,-0.4452375
2020-03-20,101,0,5,0.0,0.13521999999999998
2020-03-21,693,0,7,-0.07747142857142857,-0.4891571428571429
2020-03-22,146,0,2,-0.31845,-0.031200000000000006
2020-03-23,81,0,1,0.0,0.9033
2020-03-24,167,0,6,0.04986666666666666,-0.24595
2020-03-25,258,0,36,-0.23686,0.010280000000000001
2020-03-26,125,0,9,0.07646666666666667,0.1414
2020-03-27,0,0,1,0.0,0.0
2020-03-31,73,0,2,0.26335,0.4868
2020-04-01,15,0,2,-0.24355,-0.20685
2020-04-02,0,0,1,-0.2732,0.0
2020-04-03,0,0,1,0.0,0.0
2020-04-06,111,0,38,0.2998,0.03886666666666667
2020-04-08,53,0,15,0.5106,-0.8873
2020-04-09,49,0,10,-0.135575,-0.20185
2020-04-13,167,0,44,0.0,0.44255
2020-04-14,240,0,128,-0.11452857142857144,0.09438571428571428
2020-04-15,42,0,17,0.0,0.0
2020-04-16,56,0,23,-0.28595,-0.4689
2020-04-17,76,0,14,0.3057,-0.4846
2020-04-18,0,0,1,0.0,0.0
