date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2019-09-01,0,0,1,0.0,0.0
2019-09-02,0,0,2,0.0,0.0
2019-09-03,51,0,45,0.0,0.14049999999999999
2019-09-04,19,0,60,0.0,0.0
2019-09-06,36,0,6,0.0,-0.6908
2019-09-09,8,0,3,0.12765,0.41500000000000004
2019-09-10,30,0,85,0.5106,0.8327
2019-09-11,105,0,70,0.1468,0.2061666666666667
2019-09-12,23,0,2,-0.05103333333333334,0.0
2019-09-13,1,0,3,0.31616666666666665,-0.28963333333333335
2019-09-14,0,0,1,0.0,0.0
2019-09-16,70,0,58,0.08333333333333333,0.08886666666666669
2019-09-17,1,0,3,0.0,0.0785
2019-09-18,0,0,1,0.1835,0.0
2019-09-19,46,0,62,0.15172,0.37878
2019-09-21,0,0,2,-0.17,0.1574
2019-09-23,0,0,1,0.0,0.0
2019-09-24,2,0,3,0.03713333333333334,0.37693333333333334
2019-09-25,55,0,46,-0.576,0.14205
2019-09-26,37,0,12,0.0,0.1591
2019-09-27,158,0,193,-0.3753,-0.14509999999999995
2019-09-28,47,0,2,0.22213333333333332,-0.025733333333333334
2019-09-29,0,0,1,0.0,0.0
2019-10-01,85,0,132,0.0,0.0
2019-10-02,151,0,172,0.03588333333333333,0.18131666666666668
2019-10-03,30,0,25,0.1539,0.004657142857142852
2019-10-05,0,0,1,-0.34,0.0
2019-10-06,0,0,2,0.0,0.0
2019-10-07,167,0,629,0.0,0.3327333333333333
2019-10-08,262,0,310,0.032174999999999995,0.26822500000000005
2019-10-09,30,0,6,0.0,0.3326
2019-10-10,0,0,2,0.0,0.0
2019-10-11,124,0,56,0.1953,0.17223333333333332
2019-10-12,0,0,1,0.5859,0.0
2019-10-14,1,0,3,0.05886666666666667,0.0
2019-10-15,95,0,95,0.2275,0.0
2019-10-16,12,0,4,0.0,0.4404
2019-10-17,45,0,32,0.0,0.49985
2019-10-18,5730,0,930,-0.13048571428571426,-0.018842857142857144
2019-10-19,43,0,48,0.0,0.68045
2019-10-20,157,0,3183,-0.12796666666666667,0.06743333333333333
2019-10-21,65,0,29,0.10140000000000005,-0.32005
2019-10-22,60,0,17,-0.23595,0.008250000000000007
2019-10-23,545,0,1003,0.006386363636363637,0.05953181818181818
2019-10-24,1008,0,4928,0.1870625,0.16332916666666666
2019-10-25,1100,0,4873,0.047324000000000005,0.09717599999999998
2019-10-26,224,0,4949,-0.06513333333333333,-0.18281666666666666
2019-10-27,189,0,527,0.12571666666666667,0.29655000000000004
2019-10-28,18,0,6,-0.00028000000000000247,0.28086
2019-10-29,156,0,511,0.19725,0.462075
2019-10-30,21,0,18,0.0,0.312
2019-10-31,8,0,8,0.0,0.33525
2019-11-01,23,0,63,0.0,0.9701
2019-11-02,202,0,760,-0.07992499999999998,0.0
2019-11-03,26,0,67,0.0,0.6207
2019-11-04,78,0,463,0.07224,0.11976
2019-11-05,92,0,27,-0.18076666666666666,0.3691333333333333
2019-11-06,29,0,8,0.036975,0.0
2019-11-07,3,0,2,0.0,-0.50745
2019-11-08,0,0,1,0.5556,0.0
2019-11-09,0,0,1,0.0516,0.0
2019-11-10,0,0,1,0.0,0.0
2019-11-11,130,0,7,0.09012857142857143,0.14697142857142856
2019-11-12,272,0,8,-0.0714875,0.32177500000000003
2019-11-13,46,0,6,0.08298333333333334,0.36175
2019-11-15,125,0,3,-0.1912,-0.6344333333333333
2019-11-16,62,0,2,-0.12885,-0.4477
2019-11-17,136,0,4,-0.259325,-0.09467500000000001
2019-11-18,79,0,5,0.24830000000000002,-0.08209999999999999
2019-11-19,254,0,17,-0.09650769230769231,0.17093846153846154
2019-11-20,0,0,4,0.0,0.18530000000000002
2019-11-21,4311,0,80,0.07700625,0.06436
2019-11-22,904,0,39,0.049289743589743584,0.04850769230769231
2019-11-23,243,0,26,0.05893461538461539,0.06372692307692308
2019-11-24,15,0,20,-0.169415,0.075565
2019-11-25,0,0,8,0.04647499999999999,0.0
2019-11-26,1019,0,8,0.0734375,-0.057437500000000016
2019-11-27,61,0,4,0.142975,0.44537499999999997
2019-11-28,139,0,6,0.026116666666666667,0.030216666666666687
2019-11-29,77,0,7,-0.1874,0.07528571428571429
2019-11-30,0,0,1,0.0772,0.0
2019-12-01,4,0,2,0.08785000000000001,-0.4038
2019-12-02,4,0,2,-0.07655,0.2348
2019-12-03,283,0,5,0.0,0.25206
2019-12-04,109,0,7,0.20197142857142855,0.27442857142857147
2019-12-05,14,0,2,-0.1702,0.48115
2019-12-06,65,0,2,0.0,-0.1609
2019-12-07,33,0,1,0.0,-0.9022
2019-12-08,18,0,5,-0.16898,0.19814
2019-12-09,209,0,17,0.08812727272727273,0.23842727272727274
2019-12-10,169,0,5,0.1523,-0.018579999999999996
2019-12-11,90,0,7,0.22927142857142857,-0.021328571428571426
2019-12-12,112,0,6,0.0022833333333333317,-0.03331666666666666
2019-12-13,105,0,6,0.10115,0.5468333333333334
2019-12-14,73,0,3,-0.32583333333333336,0.09106666666666667
2019-12-15,79,0,7,0.28315714285714283,0.33971428571428575
2019-12-16,31,0,4,0.10115,-0.074175
2019-12-17,286,0,6,-0.04066666666666668,-0.19708333333333336
2019-12-18,280,0,13,-0.018022222222222224,0.18571111111111108
2019-12-19,584,0,14,0.08202142857142858,0.3397
2019-12-20,41,0,5,0.22252,-0.2731
2019-12-21,61,0,5,0.059199999999999996,-0.2867
2019-12-22,1037,0,63,0.11072380952380953,0.045846031746031746
2019-12-23,198,0,19,0.11825263157894736,0.02526842105263158
2019-12-24,134,0,7,0.19614285714285715,0.14745714285714287
2019-12-25,386,0,11,0.13306363636363636,0.3296272727272727
2019-12-26,78,0,6,0.21414999999999998,0.09013333333333333
2019-12-27,148,0,5,-0.0383,0.22268
2019-12-28,215,0,3,0.0,0.0
2019-12-29,398,0,16,-0.036468749999999994,0.112325
2019-12-30,185,0,11,-0.07707272727272726,-0.07450909090909091
2019-12-31,104,0,4,0.0903,0.052950000000000025
2020-01-01,121,0,36,-0.183775,0.4609
